route_key,route_original,city_origin,city_destination_main,is_multi_destination,destination_count,created_at
26,TUNJA - RAMIRIQUI,TUNJA,RAMIRIQUI,0,1,2026-04-22 20:01:39
27,PEREIRA - APIA,PEREIRA,APIA,0,1,2026-04-22 20:01:39
28,POPAYAN - BOLIVAR,POPAYAN,BOLIVAR,0,1,2026-04-22 20:01:39
29,BUCARAMANGA - VELEZ,BUCARAMANGA,VELEZ,0,1,2026-04-22 20:01:39
30,BOGOTA D.C. - MOSQUERA,BOGOTA D.C.,MOSQUERA,0,1,2026-04-22 20:01:39
31,NEIVA - PALESTINA,NEIVA,PALESTINA,0,1,2026-04-22 20:01:39
32,BOGOTA D.C. - PINCHOTE,BOGOTA D.C.,PINCHOTE,0,1,2026-04-22 20:01:39
33,MEDELLIN - BARBOSA,MEDELLIN,BARBOSA,0,1,2026-04-22 20:01:39
34,IBAGUE - PRADO,IBAGUE,PRADO,0,1,2026-04-22 20:01:39
35,VILLAVICENCIO - PUERTO RICO,VILLAVICENCIO,PUERTO RICO,0,1,2026-04-22 20:01:39
36,BOGOTA D.C. - SABANALARGA,BOGOTA D.C.,SABANALARGA,0,1,2026-04-22 20:01:39
37,PASTO - ALBAN,PASTO,ALBAN,0,1,2026-04-22 20:01:39
38,PASTO - ROBERTO PAYAN,PASTO,ROBERTO PAYAN,0,1,2026-04-22 20:01:39
39,TUNJA - PUERTO BOYACA,TUNJA,PUERTO BOYACA,0,1,2026-04-22 20:01:39
40,BOGOTA D.C. - SAHAGUN,BOGOTA D.C.,SAHAGUN,0,1,2026-04-22 20:01:39
41,NEIVA - ALTAMIRA,NEIVA,ALTAMIRA,0,1,2026-04-22 20:01:39
42,SINCELEJO - SAN - ABAD,SINCELEJO,SAN - ABAD,0,1,2026-04-22 20:01:39
43,VILLAVICENCIO - CUMARAL,VILLAVICENCIO,CUMARAL,0,1,2026-04-22 20:01:39
44,IBAGUE - PURIFICACION,IBAGUE,PURIFICACION,0,1,2026-04-22 20:01:39
45,SINCELEJO - CAIMITO,SINCELEJO,CAIMITO,0,1,2026-04-22 20:01:39
46,TUNJA - GAMEZA,TUNJA,GAMEZA,0,1,2026-04-22 20:01:39
47,BOGOTA D.C. - UBAQUE,BOGOTA D.C.,UBAQUE,0,1,2026-04-22 20:01:39
48,NEIVA - CAMPOALEGRE,NEIVA,CAMPOALEGRE,0,1,2026-04-22 20:01:39
49,BOGOTA D.C. - PASTO,BOGOTA D.C.,PASTO,0,1,2026-04-22 20:01:39
50,NEIVA - GARZON,NEIVA,GARZON,0,1,2026-04-22 20:01:39
51,"BOGOTA D.C. - PUERTO TEJADA , BOGOTA D.C. - MALAMBO",BOGOTA D.C.,PUERTO TEJADA,1,2,2026-04-22 20:01:39
52,MOCOA - SANTIAGO,MOCOA,SANTIAGO,0,1,2026-04-22 20:01:39
53,BOGOTA D.C. - SAN - ABAD,BOGOTA D.C.,SAN - ABAD,0,1,2026-04-22 20:01:39
54,RIOHACHA - BARRANCAS,RIOHACHA,BARRANCAS,0,1,2026-04-22 20:01:39
55,BOGOTA D.C. - PALMIRA,BOGOTA D.C.,PALMIRA,0,1,2026-04-22 20:01:39
56,BOGOTA D.C. - PEREIRA,BOGOTA D.C.,PEREIRA,0,1,2026-04-22 20:01:39
57,FLORENCIA - VALPARAISO,FLORENCIA,VALPARAISO,0,1,2026-04-22 20:01:39
58,TUNJA - CHITA,TUNJA,CHITA,0,1,2026-04-22 20:01:39
59,TUNJA - DUITAMA,TUNJA,DUITAMA,0,1,2026-04-22 20:01:39
60,TUNJA - PACHAVITA,TUNJA,PACHAVITA,0,1,2026-04-22 20:01:39
61,CALI - TULUA,CALI,TULUA,0,1,2026-04-22 20:01:39
62,POPAYAN - ARGELIA,POPAYAN,ARGELIA,0,1,2026-04-22 20:01:39
63,CALI - BUGALAGRANDE,CALI,BUGALAGRANDE,0,1,2026-04-22 20:01:39
64,POPAYAN - SAN SEBASTIAN,POPAYAN,SAN SEBASTIAN,0,1,2026-04-22 20:01:39
65,NEIVA - SUAZA,NEIVA,SUAZA,0,1,2026-04-22 20:01:39
66,MOCOA - SAN FRANCISCO,MOCOA,SAN FRANCISCO,0,1,2026-04-22 20:01:39
67,MEDELLIN - URAMITA,MEDELLIN,URAMITA,0,1,2026-04-22 20:01:39
68,IBAGUE - CHAPARRAL,IBAGUE,CHAPARRAL,0,1,2026-04-22 20:01:39
69,SANTA MARTA - CHIVOLO,SANTA MARTA,CHIVOLO,0,1,2026-04-22 20:01:39
70,BOGOTA D.C. - EL - DE BOLIVAR,BOGOTA D.C.,EL - DE BOLIVAR,0,1,2026-04-22 20:01:39
71,CARTAGENA - EL - DE BOLIVAR,CARTAGENA,EL - DE BOLIVAR,0,1,2026-04-22 20:01:39
72,BOGOTA D.C. - CURUMANI,BOGOTA D.C.,CURUMANI,0,1,2026-04-22 20:01:39
73,TUNJA - CHISCAS,TUNJA,CHISCAS,0,1,2026-04-22 20:01:39
74,BOGOTA D.C. - ESPINAL,BOGOTA D.C.,ESPINAL,0,1,2026-04-22 20:01:39
75,TUNJA - JERICO,TUNJA,JERICO,0,1,2026-04-22 20:01:39
76,BOGOTA D.C. - GIRARDOT,BOGOTA D.C.,GIRARDOT,0,1,2026-04-22 20:01:39
77,BOGOTA D.C. - LOS SANTOS,BOGOTA D.C.,LOS SANTOS,0,1,2026-04-22 20:01:39
78,BOGOTA D.C. - PAZ - ARIPORO,BOGOTA D.C.,PAZ - ARIPORO,0,1,2026-04-22 20:01:39
79,TUNJA - PAEZ,TUNJA,PAEZ,0,1,2026-04-22 20:01:39
80,POPAYAN - BUENOS AIRES,POPAYAN,BUENOS AIRES,0,1,2026-04-22 20:01:39
81,PASTO - TUMACO,PASTO,TUMACO,0,1,2026-04-22 20:01:39
82,BOGOTA D.C. - COCORNA,BOGOTA D.C.,COCORNA,0,1,2026-04-22 20:01:39
83,BOGOTA D.C. - BUCARAMANGA,BOGOTA D.C.,BUCARAMANGA,0,1,2026-04-22 20:01:39
84,POPAYAN - SILVIA,POPAYAN,SILVIA,0,1,2026-04-22 20:01:39
85,BOGOTA D.C. - NUQUI,BOGOTA D.C.,NUQUI,0,1,2026-04-22 20:01:39
86,SANTA MARTA - SAN ZENON,SANTA MARTA,SAN ZENON,0,1,2026-04-22 20:01:39
87,BUCARAMANGA - MALAGA,BUCARAMANGA,MALAGA,0,1,2026-04-22 20:01:39
88,CALI - GINEBRA,CALI,GINEBRA,0,1,2026-04-22 20:01:39
89,BOGOTA D.C. - RIOHACHA,BOGOTA D.C.,RIOHACHA,0,1,2026-04-22 20:01:39
90,BOGOTA D.C. - LETICIA,BOGOTA D.C.,LETICIA,0,1,2026-04-22 20:01:39
91,SINCELEJO - SAMPUES,SINCELEJO,SAMPUES,0,1,2026-04-22 20:01:39
92,IBAGUE - ESPINAL,IBAGUE,ESPINAL,0,1,2026-04-22 20:01:39
93,BOGOTA D.C. - MELGAR,BOGOTA D.C.,MELGAR,0,1,2026-04-22 20:01:39
94,CUCUTA - VILLA ROSARIO,CUCUTA,VILLA ROSARIO,0,1,2026-04-22 20:01:39
95,BOGOTA D.C. - TABIO,BOGOTA D.C.,TABIO,0,1,2026-04-22 20:01:39
96,YOPAL - MONTERREY,YOPAL,MONTERREY,0,1,2026-04-22 20:01:39
97,TUNJA - JENESANO,TUNJA,JENESANO,0,1,2026-04-22 20:01:39
98,BOGOTA D.C. - SINCELEJO,BOGOTA D.C.,SINCELEJO,0,1,2026-04-22 20:01:39
99,FLORENCIA - SAN - FRAGUA,FLORENCIA,SAN - FRAGUA,0,1,2026-04-22 20:01:39
100,SINCELEJO - SUCRE,SINCELEJO,SUCRE,0,1,2026-04-22 20:01:39
101,"BOGOTA D.C. - GIRARDOT , BOGOTA D.C. - DUITAMA , BOGOTA D.C. - CAQUEZA",BOGOTA D.C.,GIRARDOT,1,3,2026-04-22 20:01:39
102,BUCARAMANGA - SAN GIL,BUCARAMANGA,SAN GIL,0,1,2026-04-22 20:01:39
103,MONTERIA - PUERTO LIBERTADOR,MONTERIA,PUERTO LIBERTADOR,0,1,2026-04-22 20:01:39
104,MONTERIA - MONTELIBANO,MONTERIA,MONTELIBANO,0,1,2026-04-22 20:01:39
105,TUNJA - CUBARA,TUNJA,CUBARA,0,1,2026-04-22 20:01:39
106,BOGOTA D.C. - PACORA,BOGOTA D.C.,PACORA,0,1,2026-04-22 20:01:39
107,CALI - DAGUA,CALI,DAGUA,0,1,2026-04-22 20:01:39
108,NEIVA - SALADOBLANCO,NEIVA,SALADOBLANCO,0,1,2026-04-22 20:01:39
109,SINCELEJO - OVEJAS,SINCELEJO,OVEJAS,0,1,2026-04-22 20:01:39
110,VALLEDUPAR - AGUACHICA,VALLEDUPAR,AGUACHICA,0,1,2026-04-22 20:01:39
111,BOGOTA D.C. - SAN ESTANISLAO,BOGOTA D.C.,SAN ESTANISLAO,0,1,2026-04-22 20:01:39
112,"BOGOTA D.C. - SATIVASUR , BOGOTA D.C. - TASCO",BOGOTA D.C.,SATIVASUR,1,2,2026-04-22 20:01:39
113,RIOHACHA - EL MOLINO,RIOHACHA,EL MOLINO,0,1,2026-04-22 20:01:39
114,"BOGOTA D.C. - CORRALES , BOGOTA D.C. - BUSBANZA",BOGOTA D.C.,CORRALES,1,2,2026-04-22 20:01:39
115,IBAGUE - COELLO,IBAGUE,COELLO,0,1,2026-04-22 20:01:39
116,NEIVA - ALGECIRAS,NEIVA,ALGECIRAS,0,1,2026-04-22 20:01:39
117,MEDELLIN - ANORI,MEDELLIN,ANORI,0,1,2026-04-22 20:01:39
118,VALLEDUPAR - AGUSTIN CODAZZI,VALLEDUPAR,AGUSTIN CODAZZI,0,1,2026-04-22 20:01:39
119,PEREIRA - BALBOA,PEREIRA,BALBOA,0,1,2026-04-22 20:01:39
120,TUNJA - MOTAVITA,TUNJA,MOTAVITA,0,1,2026-04-22 20:01:39
121,IBAGUE - NATAGAIMA,IBAGUE,NATAGAIMA,0,1,2026-04-22 20:01:39
122,CARTAGENA - ARJONA,CARTAGENA,ARJONA,0,1,2026-04-22 20:01:39
123,BOGOTA D.C. - LA PEDRERA,BOGOTA D.C.,LA PEDRERA,0,1,2026-04-22 20:01:39
124,BOGOTA D.C. - GIRON,BOGOTA D.C.,GIRON,0,1,2026-04-22 20:01:39
125,TUNJA - GARAGOA,TUNJA,GARAGOA,0,1,2026-04-22 20:01:39
126,BOGOTA D.C. - VIOTA,BOGOTA D.C.,VIOTA,0,1,2026-04-22 20:01:39
127,IBAGUE - COYAIMA,IBAGUE,COYAIMA,0,1,2026-04-22 20:01:39
128,BOGOTA D.C. - BUENAVISTA,BOGOTA D.C.,BUENAVISTA,0,1,2026-04-22 20:01:39
129,BOGOTA D.C. - PUEBLO NUEVO,BOGOTA D.C.,PUEBLO NUEVO,0,1,2026-04-22 20:01:39
130,BOGOTA D.C. - PIEDECUESTA,BOGOTA D.C.,PIEDECUESTA,0,1,2026-04-22 20:01:39
131,TUNJA - TOPAGA,TUNJA,TOPAGA,0,1,2026-04-22 20:01:39
132,VALLEDUPAR - SAN DIEGO,VALLEDUPAR,SAN DIEGO,0,1,2026-04-22 20:01:39
133,BOGOTA D.C. - PUERTO SALGAR,BOGOTA D.C.,PUERTO SALGAR,0,1,2026-04-22 20:01:39
134,BUCARAMANGA - FLORIDABLANCA,BUCARAMANGA,FLORIDABLANCA,0,1,2026-04-22 20:01:39
135,BOGOTA D.C. - PUERTO GAITAN,BOGOTA D.C.,PUERTO GAITAN,0,1,2026-04-22 20:01:39
136,BOGOTA D.C. - ALBANIA (GUAJIRA),BOGOTA D.C.,ALBANIA (GUAJIRA),0,1,2026-04-22 20:01:39
137,BOGOTA D.C. - SAMPUES,BOGOTA D.C.,SAMPUES,0,1,2026-04-22 20:01:39
138,VILLAVICENCIO - SAN MARTIN,VILLAVICENCIO,SAN MARTIN,0,1,2026-04-22 20:01:39
139,BOGOTA D.C. - SANTUARIO,BOGOTA D.C.,SANTUARIO,0,1,2026-04-22 20:01:39
140,TUNJA - COMBITA,TUNJA,COMBITA,0,1,2026-04-22 20:01:39
141,CARTAGENA - BARRANCO - LOBA,CARTAGENA,BARRANCO - LOBA,0,1,2026-04-22 20:01:39
142,"BOGOTA D.C. - CAJICA , BOGOTA D.C. - CAJICA",BOGOTA D.C.,CAJICA,1,2,2026-04-22 20:01:39
143,MEDELLIN - CHIGORODO,MEDELLIN,CHIGORODO,0,1,2026-04-22 20:01:39
144,BUCARAMANGA - CARCASI,BUCARAMANGA,CARCASI,0,1,2026-04-22 20:01:39
145,PASTO - EL TAMBO,PASTO,EL TAMBO,0,1,2026-04-22 20:01:39
146,MONTERIA - PUEBLO NUEVO,MONTERIA,PUEBLO NUEVO,0,1,2026-04-22 20:01:39
147,SANTA MARTA - EL BANCO,SANTA MARTA,EL BANCO,0,1,2026-04-22 20:01:39
148,PASTO - TAMINANGO,PASTO,TAMINANGO,0,1,2026-04-22 20:01:39
149,BOGOTA D.C. - MUNICIPIO - PIAMONTE CAUCA,BOGOTA D.C.,MUNICIPIO - PIAMONTE CAUCA,0,1,2026-04-22 20:01:39
150,CALI - VERSALLES,CALI,VERSALLES,0,1,2026-04-22 20:01:39
151,BOGOTA D.C. - MONTERREY,BOGOTA D.C.,MONTERREY,0,1,2026-04-22 20:01:39
152,CARTAGENA - MONTERIA,CARTAGENA,MONTERIA,0,1,2026-04-22 20:01:39
153,BOGOTA D.C. - SOCHA,BOGOTA D.C.,SOCHA,0,1,2026-04-22 20:01:39
154,CALI - CAICEDONIA,CALI,CAICEDONIA,0,1,2026-04-22 20:01:39
155,PASTO - GUACHUCAL,PASTO,GUACHUCAL,0,1,2026-04-22 20:01:39
156,MOCOA - ORITO,MOCOA,ORITO,0,1,2026-04-22 20:01:39
157,BOGOTA D.C. - SANTA - DE CABAL,BOGOTA D.C.,SANTA - DE CABAL,0,1,2026-04-22 20:01:39
158,MANIZALES - AGUADAS,MANIZALES,AGUADAS,0,1,2026-04-22 20:01:39
159,BOGOTA D.C. - BOLIVAR,BOGOTA D.C.,BOLIVAR,0,1,2026-04-22 20:01:39
160,CARTAGENA - ACHI,CARTAGENA,ACHI,0,1,2026-04-22 20:01:39
161,CALI - CANDELARIA,CALI,CANDELARIA,0,1,2026-04-22 20:01:39
162,MONTERIA - AYAPEL,MONTERIA,AYAPEL,0,1,2026-04-22 20:01:39
163,PASTO - GUAITARILLA,PASTO,GUAITARILLA,0,1,2026-04-22 20:01:39
164,SAN - DEL GUAVIAR - CALAMAR,SAN,DEL GUAVIAR - CALAMAR,0,1,2026-04-22 20:01:39
165,TUNJA - TASCO,TUNJA,TASCO,0,1,2026-04-22 20:01:39
166,VILLAVICENCIO - BARRANCA - UPIA,VILLAVICENCIO,BARRANCA - UPIA,0,1,2026-04-22 20:01:39
167,BOGOTA D.C. - CAMPOHERMOSO,BOGOTA D.C.,CAMPOHERMOSO,0,1,2026-04-22 20:01:39
168,BOGOTA D.C. - MONTERIA,BOGOTA D.C.,MONTERIA,0,1,2026-04-22 20:01:39
169,RIOHACHA - URIBIA,RIOHACHA,URIBIA,0,1,2026-04-22 20:01:39
170,BOGOTA D.C. - LEBRIJA,BOGOTA D.C.,LEBRIJA,0,1,2026-04-22 20:01:39
171,RIOHACHA - FONSECA,RIOHACHA,FONSECA,0,1,2026-04-22 20:01:39
172,BOGOTA D.C. - MAICAO,BOGOTA D.C.,MAICAO,0,1,2026-04-22 20:01:39
173,"BOGOTA D.C. - BUENAVISTA , BOGOTA D.C. - AGUSTIN CODAZZI",BOGOTA D.C.,BUENAVISTA,1,2,2026-04-22 20:01:39
174,CALI - BUENAVENTURA,CALI,BUENAVENTURA,0,1,2026-04-22 20:01:39
175,SINCELEJO - COROZAL,SINCELEJO,COROZAL,0,1,2026-04-22 20:01:39
176,SANTA MARTA - CONCORDIA,SANTA MARTA,CONCORDIA,0,1,2026-04-22 20:01:39
177,TUNJA - AQUITANIA,TUNJA,AQUITANIA,0,1,2026-04-22 20:01:39
178,BOGOTA D.C. - PIOJO,BOGOTA D.C.,PIOJO,0,1,2026-04-22 20:01:39
179,CARTAGENA - SOPLAVIENTO,CARTAGENA,SOPLAVIENTO,0,1,2026-04-22 20:01:39
180,SAN ANDRES - PROVIDENCIA,SAN ANDRES,PROVIDENCIA,0,1,2026-04-22 20:01:39
181,PASTO - LA FLORIDA,PASTO,LA FLORIDA,0,1,2026-04-22 20:01:39
182,NEIVA - ISNOS,NEIVA,ISNOS,0,1,2026-04-22 20:01:39
183,BOGOTA D.C. - SAN - MIRANDA,BOGOTA D.C.,SAN - MIRANDA,0,1,2026-04-22 20:01:39
184,CARTAGENA - MUNICIPIO - - BOLIVAR,CARTAGENA,MUNICIPIO - - BOLIVAR,0,1,2026-04-22 20:01:39
185,"BOGOTA D.C. - BARRANQUILLA , BOGOTA D.C. - RIO - CHOCO (CHOCO)",BOGOTA D.C.,BARRANQUILLA,1,2,2026-04-22 20:01:39
186,MANIZALES - BELALCAZAR,MANIZALES,BELALCAZAR,0,1,2026-04-22 20:01:39
187,VALLEDUPAR - TAMALAMEQUE,VALLEDUPAR,TAMALAMEQUE,0,1,2026-04-22 20:01:39
188,TUNJA - SOGAMOSO,TUNJA,SOGAMOSO,0,1,2026-04-22 20:01:39
189,BOGOTA D.C. - BARRANQUILLA,BOGOTA D.C.,BARRANQUILLA,0,1,2026-04-22 20:01:39
190,BOGOTA D.C. - HONDA,BOGOTA D.C.,HONDA,0,1,2026-04-22 20:01:39
191,BOGOTA D.C. - NUEVO COLON,BOGOTA D.C.,NUEVO COLON,0,1,2026-04-22 20:01:39
192,IBAGUE - PLANADAS,IBAGUE,PLANADAS,0,1,2026-04-22 20:01:39
193,"BOGOTA D.C. - CARTAGENA , BOGOTA D.C. - SANTA MARTA",BOGOTA D.C.,CARTAGENA,1,2,2026-04-22 20:01:39
194,BOGOTA D.C. - LURUACO,BOGOTA D.C.,LURUACO,0,1,2026-04-22 20:01:39
195,BOGOTA D.C. - SAN ANTERO,BOGOTA D.C.,SAN ANTERO,0,1,2026-04-22 20:01:39
196,MOCOA - VALLE GUAMUEZ (LA HORMIGA),MOCOA,VALLE GUAMUEZ (LA HORMIGA),0,1,2026-04-22 20:01:39
197,POPAYAN - EL TAMBO,POPAYAN,EL TAMBO,0,1,2026-04-22 20:01:39
198,BOGOTA D.C. - JUAN - ACOSTA,BOGOTA D.C.,JUAN - ACOSTA,0,1,2026-04-22 20:01:39
199,"BOGOTA D.C. - MEDELLIN , BOGOTA D.C. - BUGA",BOGOTA D.C.,MEDELLIN,1,2,2026-04-22 20:01:39
200,CARTAGENA - SANTA ROSA,CARTAGENA,SANTA ROSA,0,1,2026-04-22 20:01:39
201,MEDELLIN - BELMIRA,MEDELLIN,BELMIRA,0,1,2026-04-22 20:01:39
202,"CALI - BUGALAGRANDE , CALI - TORO",CALI,BUGALAGRANDE,1,2,2026-04-22 20:01:39
203,YOPAL - SAN - DE PALENQUE,YOPAL,SAN - DE PALENQUE,0,1,2026-04-22 20:01:39
204,CUCUTA - LOS PATIOS,CUCUTA,LOS PATIOS,0,1,2026-04-22 20:01:39
205,MEDELLIN - AMAGA,MEDELLIN,AMAGA,0,1,2026-04-22 20:01:39
206,BOGOTA D.C. - FLORENCIA,BOGOTA D.C.,FLORENCIA,0,1,2026-04-22 20:01:39
207,TUNJA - VILLA - LEYVA,TUNJA,VILLA - LEYVA,0,1,2026-04-22 20:01:39
208,BOGOTA D.C. - ARAUCA,BOGOTA D.C.,ARAUCA,0,1,2026-04-22 20:01:39
209,BOGOTA D.C. - VILLAVICENCIO,BOGOTA D.C.,VILLAVICENCIO,0,1,2026-04-22 20:01:39
210,BOGOTA D.C. - MANATI,BOGOTA D.C.,MANATI,0,1,2026-04-22 20:01:39
211,BOGOTA D.C. - RIONEGRO,BOGOTA D.C.,RIONEGRO,0,1,2026-04-22 20:01:39
212,TUNJA - TUTASA,TUNJA,TUTASA,0,1,2026-04-22 20:01:39
213,TUNJA - SOCHA,TUNJA,SOCHA,0,1,2026-04-22 20:01:39
214,PEREIRA - QUINCHIA,PEREIRA,QUINCHIA,0,1,2026-04-22 20:01:39
215,POPAYAN - LA SIERRA,POPAYAN,LA SIERRA,0,1,2026-04-22 20:01:39
216,MONTERIA - LORICA,MONTERIA,LORICA,0,1,2026-04-22 20:01:39
217,BOGOTA D.C. - CHIQUINQUIRA,BOGOTA D.C.,CHIQUINQUIRA,0,1,2026-04-22 20:01:39
218,BOGOTA D.C. - BARRANCABERMEJA,BOGOTA D.C.,BARRANCABERMEJA,0,1,2026-04-22 20:01:39
219,CALI - BOGOTA D.C.,CALI,BOGOTA D.C.,0,1,2026-04-22 20:01:39
220,RIOHACHA - MAICAO,RIOHACHA,MAICAO,0,1,2026-04-22 20:01:39
221,MEDELLIN - PUERTO TRIUNFO,MEDELLIN,PUERTO TRIUNFO,0,1,2026-04-22 20:01:39
222,BOGOTA D.C. - QUIBDO,BOGOTA D.C.,QUIBDO,0,1,2026-04-22 20:01:39
223,BOGOTA D.C. - VELEZ,BOGOTA D.C.,VELEZ,0,1,2026-04-22 20:01:39
224,CARTAGENA - EL - (BOLIVAR),CARTAGENA,EL - (BOLIVAR),0,1,2026-04-22 20:01:39
225,BOGOTA D.C. - NARIÑO,BOGOTA D.C.,NARIÑO,0,1,2026-04-22 20:01:39
226,"VILLAVICENCIO - GRANADA , VILLAVICENCIO - RESTREPO",VILLAVICENCIO,GRANADA,1,2,2026-04-22 20:01:39
227,BOGOTA D.C. - COVENAS (SUCRE),BOGOTA D.C.,COVENAS (SUCRE),0,1,2026-04-22 20:01:39
228,BOGOTA D.C. - EL PEÑON,BOGOTA D.C.,EL PEÑON,0,1,2026-04-22 20:01:39
229,TUNJA - SAMACA,TUNJA,SAMACA,0,1,2026-04-22 20:01:39
230,BOGOTA D.C. - CAIMITO,BOGOTA D.C.,CAIMITO,0,1,2026-04-22 20:01:39
231,BOGOTA D.C. - MONGUI,BOGOTA D.C.,MONGUI,0,1,2026-04-22 20:01:39
232,BOGOTA D.C. - LA CRUZ,BOGOTA D.C.,LA CRUZ,0,1,2026-04-22 20:01:39
233,CARTAGENA - S.JUAN NEPOMUCENO,CARTAGENA,S.JUAN NEPOMUCENO,0,1,2026-04-22 20:01:39
234,SINCELEJO - SAN MARCOS,SINCELEJO,SAN MARCOS,0,1,2026-04-22 20:01:39
235,BOGOTA D.C. - LA UNION,BOGOTA D.C.,LA UNION,0,1,2026-04-22 20:01:39
236,MOCOA - PUERTO LEGUIZAMO,MOCOA,PUERTO LEGUIZAMO,0,1,2026-04-22 20:01:39
237,CARTAGENA - MOMPOS,CARTAGENA,MOMPOS,0,1,2026-04-22 20:01:39
238,TUNJA - FLORESTA,TUNJA,FLORESTA,0,1,2026-04-22 20:01:39
239,BOGOTA D.C. - GIGANTE,BOGOTA D.C.,GIGANTE,0,1,2026-04-22 20:01:39
240,PEREIRA - BELEN - UMBRIA,PEREIRA,BELEN - UMBRIA,0,1,2026-04-22 20:01:39
241,POPAYAN - LA VEGA,POPAYAN,LA VEGA,0,1,2026-04-22 20:01:39
242,BUCARAMANGA - RIONEGRO,BUCARAMANGA,RIONEGRO,0,1,2026-04-22 20:01:39
243,VALLEDUPAR - CHIMICHAGUA,VALLEDUPAR,CHIMICHAGUA,0,1,2026-04-22 20:01:39
244,BOGOTA D.C. - TAURAMENA,BOGOTA D.C.,TAURAMENA,0,1,2026-04-22 20:01:39
245,CUCUTA - CHITAGA,CUCUTA,CHITAGA,0,1,2026-04-22 20:01:39
246,BUCARAMANGA - BARRANCABERMEJA,BUCARAMANGA,BARRANCABERMEJA,0,1,2026-04-22 20:01:39
247,"BOGOTA D.C. - CALI , BOGOTA D.C. - PAMPLONA",BOGOTA D.C.,CALI,1,2,2026-04-22 20:01:39
248,TUNJA - GUAYATA,TUNJA,GUAYATA,0,1,2026-04-22 20:01:39
249,BOGOTA D.C. - CAQUEZA,BOGOTA D.C.,CAQUEZA,0,1,2026-04-22 20:01:39
250,MEDELLIN - NECOCLI,MEDELLIN,NECOCLI,0,1,2026-04-22 20:01:39
251,BOGOTA D.C. - PUERTO BOYACA,BOGOTA D.C.,PUERTO BOYACA,0,1,2026-04-22 20:01:39
252,"BOGOTA D.C. - CARTAGENA , BOGOTA D.C. - CARTAGENA",BOGOTA D.C.,CARTAGENA,1,2,2026-04-22 20:01:39
253,BOGOTA D.C. - SANTANDER - Q.,BOGOTA D.C.,SANTANDER - Q.,0,1,2026-04-22 20:01:39
254,BOGOTA D.C. - CIENAGA - ORO,BOGOTA D.C.,CIENAGA - ORO,0,1,2026-04-22 20:01:39
255,MOCOA - PUERTO GUZMAN,MOCOA,PUERTO GUZMAN,0,1,2026-04-22 20:01:39
256,RIOHACHA - MANAURE,RIOHACHA,MANAURE,0,1,2026-04-22 20:01:39
257,SANTA MARTA - EL PINON,SANTA MARTA,EL PINON,0,1,2026-04-22 20:01:39
