viatico_key,commission_request_id,year_num,employee_key,procedure_key,route_key,source_key,start_date_key,end_date_key,commission_days,total_travel_allowance,commission_purpose_raw,purpose_category,quality_note,created_at
13,2200994,2022,3,1,1,1,20220129,20220131,2.5,902524.0,"Visita de verificación técnica, recibo físico y de bienes de la construcción de la nueva sede de la Gerencia Departamental Colegiada de Caldas",VISITA,,2026-04-22 20:01:39
14,2201306,2022,12,1,1,1,20220129,20220131,2.5,777621.0,"Visita de verificación técnica, recibo físico y de bienes de la construcción de la nueva sede de la Gerencia Departamental Colegiada de Caldas",VISITA,,2026-04-22 20:01:39
15,2202488,2022,2,1,1,1,20220129,20220131,2.5,2273053.0,"Visita de verificación, recibo físico y de bienes de la construcción de la nueva sede de la Gerencia Departamental Colegiada de Caldas",VISITA,,2026-04-22 20:01:39
16,2202984,2022,13,1,1,1,20220129,20220130,1.5,464342.0,Implementar equipos de comunicaciones LAN y acompañamiento para el recibido de la nueva Gerencia Departamental Caldas.,OTROS,,2026-04-22 20:01:39
17,2200167,2022,14,1,8,1,20220130,20220131,1.5,1499653.0,"Desplazarse a la ciudad de Ibague - Tolima, para realizar visita fiscala a INFIBAGUE, en desarrollo de la intervencion funcional ordenada mediante Resolucion ORD-80112- 1743 -2021.",VISITA,,2026-04-22 20:01:39
18,2202167,2022,15,1,8,1,20220130,20220131,1.5,1417664.0,"Desplazarse a la ciudad de Ibague - Tolima, para realizar visita fiscala a INFIBAGUE, en desarrollo de la intervencion funcional ordenada mediante Resolucion ORD-80112- 1743 -2021.",VISITA,,2026-04-22 20:01:39
19,2202332,2022,16,1,8,1,20220130,20220131,1.5,841634.0,"Desplazarse a la ciudad de Ibague - Tolima, para realizar visita fiscala a INFIBAGUE, en desarrollo de la intervencion funcional ordenada mediante Resolucion ORD-80112- 1743 -2021.",VISITA,,2026-04-22 20:01:39
20,2203218,2022,17,1,8,1,20220130,20220131,1.5,1489382.0,"Desplazarse a la ciudad de Ibague - Tolima, para realizar visita fiscala a INFIBAGUE, en desarrollo de la intervencion funcional ordenada mediante Resolucion ORD-80112- 1743 -2021.",VISITA,,2026-04-22 20:01:39
21,2203413,2022,18,1,9,1,20220130,20220130,1.0,62427.0,Presta apoyo al DPC en la visita de verificación al proyecto CONSTRUCCIÓN DE LA II FASE DEL COLISEO SAN LORENZO DEL CASCO URBANO DEL MUNICIPIO DE BOJACÁ-CUNDINAMARCA en articulación con la Comisión Regional de Moralización Bogotá,VISITA,,2026-04-22 20:01:39
22,2201782,2022,19,1,10,1,20220131,20220131,0.5,190310.0,"Realizar visita técnica a los sitios de ejecución de las obras correspondientes al Contrato No. 17001579 H4 -2017, en desarrollo del apoyo técnico ordenado dentro del trámite de la IP 85112-2021-46395 AEROCIVIL.",VISITA,,2026-04-22 20:01:39
23,2200173,2022,20,1,11,1,20220203,20220204,1.5,606819.0,"Visita para verificar el contrato de obra 305 del 21-09-2020, por 29,070,798, destinado a la adecuación del polideportivo. Se denuncian presuntas irregularidades en su ejecución y deficiencias en la calidad de las obras.",VISITA,,2026-04-22 20:01:39
24,2201433,2022,21,1,4,1,20220203,20220203,0.5,207371.0,"Acompañar mesa técnica interinstitucional, de RESTITUCIÓN DE TIERRAS de la Ley de víctimas en el Marco del Convenio PNUD con la CGR que se realizará en la ciudad de Cali.",OTROS,,2026-04-22 20:01:39
25,2203307,2022,22,1,4,1,20220203,20220203,0.5,208061.0,"Acompañar mesa técnica interinstitucional, de RESTITUCIÓN DE TIERRAS de la Ley de víctimas en el Marco del Convenio PNUD con la CGR que se realizará en la ciudad de Cali.",OTROS,,2026-04-22 20:01:39
26,2203548,2022,23,1,4,1,20220203,20220203,0.5,215988.0,"Acompañar mesa técnica interinstitucional, de RESTITUCIÓN DE TIERRAS de la Ley de víctimas en el Marco del Convenio PNUD con la CGR que se realizará en la ciudad de Cali.",OTROS,,2026-04-22 20:01:39
27,2200222,2022,24,1,2,1,20220205,20220206,1.5,570925.0,Desarrollar dos diálogos de seguimiento participativo para impulsar proyectos con la ciudadanía en el marco de la estrategia Compromiso Colombia y realizar visitas de seguimiento al PAE,VISITA,,2026-04-22 20:01:39
28,2201387,2022,25,1,12,1,20220205,20220207,2.5,952315.0,"Desplazamiento desde el municipio de Mocoa al centro poblado San Pedro del Municipio de Puerto Caicedo, para realizar visita de inspección física para presentar informe técnico dentro de la Denuncia 2021-315617-80864-D.",VISITA,,2026-04-22 20:01:39
29,2203027,2022,26,1,2,1,20220205,20220206,1.5,1375115.0,Desarrollar dos diálogos de seguimiento participativo para impulsar proyectos con la ciudadanía en el marco de la estrategia Compromiso Colombia y realizar visitas de seguimiento al PAE,VISITA,,2026-04-22 20:01:39
30,2200651,2022,27,1,13,1,20220206,20220207,1.5,543337.0,"Realizar evento mesa de dialogo ciudadano en la ciudad de Santa Marta, para el seguimiento a la implementación de la política pública de posconflicto de los municipios PDET, Cienaga, Aracata, Fundacion y Santa Marta del departamento de Magdalena",DIALOGO,,2026-04-22 20:01:39
31,2202364,2022,28,1,4,1,20220206,20220207,1.5,749840.0,"Realizar evento mesa de dialogo ciudadano en la ciudad de Cali, para el seguimiento a la implementación de la política pública de posconflicto de los municipios PDET, Florida y Pradera -Valle del Cauca y Miranda y Corinto -Cauca.",DIALOGO,,2026-04-22 20:01:39
32,2203130,2022,3,1,6,1,20220206,20220207,1.5,571947.0,"Visita de verificación, recibo físico y de bienes de las adecuaciones del sistema de aire acondicionado en la Gerencia Departamental Colegiada de Bolívar",VISITA,,2026-04-22 20:01:39
33,2203164,2022,29,1,13,1,20220206,20220207,1.5,563252.0,"Realizar evento mesa de dialogo ciudadano en la ciudad de Santa Marta, para el seguimiento a la implementación de la política pública de posconflicto de los municipios PDET, Cienaga, Aracata, Fundacion y Santa Marta del departamento de Magdalena",DIALOGO,,2026-04-22 20:01:39
34,2203537,2022,30,1,6,1,20220206,20220207,1.5,987482.0,Realizar visita de revisión documental con el fin de prestar la asesoría legal para el recibo físico y de bienes de las adecuaciones en la Gerencia Departamental Colegia de Bolívar,VISITA,,2026-04-22 20:01:39
35,2203662,2022,31,1,4,1,20220206,20220207,1.5,495602.0,"Realizar evento mesa de dialogo ciudadano en la ciudad de Cali, para el seguimiento a la implementación de la política pública de posconflicto de los municipios PDET, Florida y Pradera -Valle del Cauca y Miranda y Corinto -Cauca.",DIALOGO,,2026-04-22 20:01:39
36,2203770,2022,32,1,4,1,20220206,20220207,1.5,566608.0,"Realizar evento mesa de dialogo ciudadano en la ciudad de Cali, para el seguimiento a la implementación de la política pública de posconflicto de los municipios PDET, Florida y Pradera -Valle del Cauca y Miranda y Corinto -Cauca.",DIALOGO,,2026-04-22 20:01:39
37,2203825,2022,2,1,6,1,20220206,20220207,1.5,1346497.0,"Visita de verificación técnica, recibo físico y de bienes de las adecuaciones del sistema de aire acondicionado en la Gerencia Departamental Colegiada de Bolívar",VISITA,,2026-04-22 20:01:39
38,2203873,2022,33,1,13,1,20220206,20220207,1.5,738062.0,"Realizar evento mesa de dialogo ciudadano en la ciudad de Santa Marta, para el seguimiento a la implementación de la política pública de posconflicto de los municipios PDET, Cienaga, Aracata, Fundacion y Santa Marta del departamento de Magdalena",DIALOGO,,2026-04-22 20:01:39
39,2202536,2022,34,1,2,1,20220209,20220210,1.5,1378749.0,"con el fin de estar presente en la apertura oficial de la plataforma de inscripciones en el concurso de Méritos 2021-2026, como Supervisora del Contrato 815 suscrito con la Universidad de Antioquia y la Contraloría General de la República.",OTROS,,2026-04-22 20:01:39
40,2200259,2022,35,1,14,1,20220210,20220214,4.5,1831598.0,"Realizar visita tecnica de campo, decretada mediante auto No. 00043 del 16 01 2022, revision ejecucion contrato de obra No. 90908 005 2019, zona rural del municipio, dentro las IP Nos. 816112 2020 43750 y 43752",VISITA,,2026-04-22 20:01:39
41,2200972,2022,36,1,15,1,20220210,20220211,1.5,504113.0,"Realizar visita especial, decretada mediante auto No. 0092 del 24 01 2022, revision ejecucion contrato de obra No. 011 de 2018, revision placas cancha multifuncional del municipio, dentro de la IP No. 801112 2020 45397",VISITA,,2026-04-22 20:01:39
42,2203496,2022,37,1,15,1,20220210,20220211,1.5,493101.0,"Realizar visita especial, decretada mediante auto No. 0092 del 24 01 2022, revision ejecucion contrato de obra No. 011 de 2018, revision placas cancha multifuncional del municipio, dentro de la IP No. 801112 2020 45397",VISITA,,2026-04-22 20:01:39
43,2203632,2022,38,1,16,1,20220210,20220213,3.5,1703998.0,"Verificar la obra construida a través del contrato MS-LP-002-2017, en cuanto a calidad de ejecución y cantidades utilizadas con respecto a las pagadas en las veredas Cañon, Volcan, la Rastra y las Antenas del municipio de Sutamarchan Boyacá",OTROS,,2026-04-22 20:01:39
44,2200028,2022,39,1,17,1,20220211,20220212,1.5,728019.0,Realizar seguimiento a la implementación de la política pública de víctimas en los municipios PDET y ZOMAC priorizados del departamento de Casanare Municipio de Yopal.,OTROS,,2026-04-22 20:01:39
45,2200953,2022,40,1,17,1,20220211,20220212,1.5,550223.0,Realizar seguimiento a la implementación de la política pública de víctimas en los municipios PDET y ZOMAC priorizados del departamento de Casanare Municipio de Yopal.,OTROS,,2026-04-22 20:01:39
46,2201220,2022,41,1,18,1,20220211,20220214,3.5,927174.0,Participar en la Reunión comité de convivencia laboral como Representante de los funcionarios ante este comité.,OTROS,,2026-04-22 20:01:39
47,2201687,2022,42,1,19,1,20220211,20220214,3.5,1351115.0,"Realizar visita especial, decretada mediante autos No. 02133 del 19 12 2021 y 00198 del 05 02 2022,revision ejecucion contratos de obra No. C GV 2013 002 del 24 09 2013 y C GV 2013 025 del 24 01 2014, dentro del PRF No. 80132 2019 34187",VISITA,,2026-04-22 20:01:39
48,2202776,2022,43,1,17,1,20220211,20220212,1.5,1136698.0,Realizar seguimiento a la implementación de la política pública de víctimas en los municipios PDET y ZOMAC priorizados del departamento de Casanare Municipio de Yopal.,OTROS,,2026-04-22 20:01:39
49,2202826,2022,44,1,19,1,20220211,20220214,3.5,1107628.0,"Realizar visita tecnica, decretada mediante autos No. 02133 del 19 12 2021 y 00198 del 05 02 2022,revision ejecucion contratos de obra No. C GV 2013 002 del 24 09 2013 y C GV 2013 025 del 24 01 2014, dentro del PRF No. 80132 2019 34187",VISITA,,2026-04-22 20:01:39
50,2203311,2022,45,1,20,1,20220211,20220214,3.5,1439238.0,Verificar el Estado de las Obras objeto de los contratos 2022000713 y 2022001943 Casa Campesina del SENA en el Municipio de Barbacoas,OTROS,,2026-04-22 20:01:39
51,2203468,2022,46,1,2,1,20220211,20220211,0.5,450845.0,"Participar como organizador en el eventotaller sobre la implementación de la Guía de Auditoría Territorial GAT 40, en cumplimiento de la estrategia 4.9 del Plan de Acción de la Unidad.",AUDITORIA,,2026-04-22 20:01:39
52,2203867,2022,47,1,17,1,20220211,20220212,1.5,551855.0,Realizar seguimiento a la implementación de la política pública de víctimas en los municipios PDET y ZOMAC priorizados del departamento de Casanare Municipio de Yopal.,OTROS,,2026-04-22 20:01:39
53,2201258,2022,48,1,21,1,20220212,20220214,2.5,981574.0,"Realizar visita tecnica, decretada mediante auto No. 00134 del 24 01 2022, revision ejecucion contrato de obra No. 141 del 27 05 2017, estacion de policia de Ricaurte, dentro de la IP No. 89112 2019 42781",VISITA,,2026-04-22 20:01:39
54,2201738,2022,49,1,22,1,20220213,20220214,1.5,531829.0,Servir de facilitadora metodológica de las jornadas de trabajo para la evaluación de la primera fase y planeación de la segunda fase de la estrategia de gobernanza ambiental en el Río Cesar con el apoyo del equipo de la Gerencia Cesar.,APOYO,,2026-04-22 20:01:39
55,2203551,2022,50,1,2,1,20220214,20220215,1.5,1430675.0,"Hacer presencia en el cierre de las inscripciones al concurso de Méritos 2021-2026, como supervisión al Contrato 815 suscrito con la Universidad de Antioquia y la Contraloría General de la República",OTROS,,2026-04-22 20:01:39
56,2200309,2022,51,1,23,1,20220217,20220218,1.5,622390.0,"Realizar visita tecnica, decretada mediante auto No. 706 del 11 12 2021, revision ejecucion contrato de obra No. LP 008 de 2017, dentro de la IP No. 80412 2021 46708",VISITA,,2026-04-22 20:01:39
57,2200358,2022,52,1,24,1,20220217,20220219,2.5,1015760.0,"Pruebas de recorrido áreas de contratación, presupuestal y contable, para la escogencia de la muestra contractual, determinación de la materialidad contable y presupuestal, evaluación inicial control Interno.",OTROS,,2026-04-22 20:01:39
58,2200916,2022,53,1,24,1,20220217,20220219,2.5,1016013.0,"Pruebas de recorrido áreas de contratación, presupuestal y contable, para la escogencia de la muestra contractual, determinación de la materialidad contable y presupuestal, evaluación inicial control Interno.",OTROS,,2026-04-22 20:01:39
59,2201131,2022,54,1,1,1,20220217,20220219,2.5,811397.0,"Capacitar la operación de la plataforma 199. Coordinar la simulación de llamadas y supervisar la integración operativa del sistema, asegurando el cumplimiento de los estándares de funcionalidad y estabilidad.",CAPACITACION,,2026-04-22 20:01:39
60,2201210,2022,55,1,25,1,20220217,20220219,2.5,885802.0,Visita técnica proyecto construcción y operación al acueducto de Acandí y Capurgana. El trayecto fluvial a Capurgana lo cubre la Alcaldía municipal en el marco de la IP No. 007 - 2021. Se requiere vuelo Bogotá - Montería - Bogotá.,VISITA,,2026-04-22 20:01:39
61,2201372,2022,56,1,26,1,20220217,20220217,1.0,77999.0,Realizar visita técnica en el marco de la denuncia 2021-306784-80154-D con la finalidad de verificar la culmunación del contrato de obra MR-USP-LP-001-2019 en el municipio de Ramiriquí.,VISITA,,2026-04-22 20:01:39
62,2201380,2022,57,1,27,1,20220217,20220220,3.5,1303523.0,"Realizar visita tecnica, decretada mediante auto No. 002 del 10 01 2022, revision ejecucion contrato de obra No. 091 de 2020, suministro materiales sistema de acueducto en zona rural del municipio, dentro de la IP No.",VISITA,,2026-04-22 20:01:39
63,2201828,2022,58,1,28,1,20220217,20220220,3.5,2146528.0,"Realizar visita tecnica, decretada mediante auto No. 710 del 05 12 2021, revision ejecucion contrato de obra No. 053 de 2017, zona rural municipios de Bolivar y Mercaderes, dentro del PRF No. 2020 44994",VISITA,,2026-04-22 20:01:39
64,2202810,2022,59,1,24,1,20220217,20220219,2.5,954947.0,"Pruebas de recorrido áreas de contratación, presupuestal y contable, para la escogencia de la muestra contractual, determinación de la materialidad contable y presupuestal, evaluación inicial control Interno.",OTROS,,2026-04-22 20:01:39
65,2203079,2022,60,1,29,1,20220217,20220220,3.5,1160048.0,"Realizar visita tecnica, decretada mediante autos No. 02 del 28 01 2022 y 001 del 23 01 2022, revision ejecucion contratos de obra Nos. 184 de 2020 y 170 de 2020, dentro de las IP Nos. 80682 2021 46888 y 80682 2021 46993",VISITA,,2026-04-22 20:01:39
66,2203262,2022,61,1,30,1,20220217,20220217,1.0,67812.0,Seguimiento a la Gestión e Implementación de la Estrategia Nacional de Economía Circular en Colombia,OTROS,,2026-04-22 20:01:39
67,2203567,2022,62,1,31,1,20220217,20220218,1.5,640859.0,"Realizar visita tecnica, decretada mediante auto No. 693 del 10 12 2021, revision ejecucion contrato de obra No. 147 de 2019, construccion plan maestro de acueducto y alcantarillado, dentro de la IP No. 80412 2021 46703",VISITA,,2026-04-22 20:01:39
68,2201647,2022,63,1,32,1,20220218,20220219,1.5,705301.0,"Visita obras objeto designación apoyo técnico Indagación preliminar IP 85112-2021-46435- Fondo Adaptación. Obras reconstrucción áreas afectadas por el fenómeno de la niña cuenca hidrográfica del río Fonce municipios Pinchote, Onzaga y San Joaquín.",VISITA,,2026-04-22 20:01:39
69,2203279,2022,64,1,33,1,20220218,20220220,3.0,228603.0,"Realizar visita tecnica, decretada mediante auto No. 722 del 16 05 2021, revision ejecucion convenio interadministrativoo No. 000022 del 10 08 2018, construccion cubierta en sede educativa del municipio, dentro del PRF No. 80052 2019 42297",VISITA,,2026-04-22 20:01:39
70,2200229,2022,11,1,3,1,20220219,20220221,2.5,609124.0,"Realizar apoyo técnico y protocolo de pruebas a los sistemas de seguridad electrónica implementados a través del convenio interadministrativo 278-2019, en la Gerencia Departamental Norte de Santander",APOYO,,2026-04-22 20:01:39
71,2200246,2022,65,1,34,1,20220219,20220221,2.5,864196.0,"Realizar visita tecnica, decretada mediante auto No. 002 del 09 01 2022, revision ejecucion contrato de obra No. 353 de 2019, bocatoma acueducto del municipio, dentro del PRF No. 80733 2019 42329",VISITA,,2026-04-22 20:01:39
72,2200534,2022,66,1,35,1,20220219,20220221,2.5,827152.0,"Realizar visita tecnica, decretada mediante auto No. 015 del 23 01 2022, revision ejecucion contrato de obra No. 20011010119 de 2015, cosntruccion de viviendas nuevas, dentro del PRF No. 2017 01743 2017 00196",VISITA,,2026-04-22 20:01:39
73,2200536,2022,67,1,36,1,20220219,20220221,2.5,811049.0,Realizar visita al Acueducto Rural - Etapa 1 en el Municipio Sabanalarga - Departamento del Atlántico en el marco del Seguimiento Permanente del Contrato No. 202302699 de 2020,VISITA,,2026-04-22 20:01:39
74,2200538,2022,68,1,37,1,20220219,20220221,2.5,1125504.0,"Realizar visita tecnica, decretada mediante auto No. 090 del 07 10 2021, revision ejecucion contrato de obra No. LP No. 001 2018, en zona rural del municipio, dentro de la IP No. 80523 2021 46019",VISITA,,2026-04-22 20:01:39
75,2200883,2022,69,1,38,1,20220219,20220221,2.5,1082725.0,"Realizar visita tecnica, decretada mediante auto No. 124 del 23 12 2021, revision ejecucion contrato de obra No. 385 de 2019, verificar obras en el municipio, dentro de la IP No. 80522 2021 47487",VISITA,,2026-04-22 20:01:39
76,2201516,2022,10,1,6,1,20220219,20220221,2.5,732446.0,"Realizar apoyo técnico y protocolo de pruebas a los sistemas de seguridad electrónica implementados a través del convenio interadministrativo 278-2019, en la Gerencia Departamental Bolivar",APOYO,,2026-04-22 20:01:39
77,2202311,2022,70,1,39,1,20220219,20220221,2.5,939157.0,Realizar desplazamiento al municipio de Puerto Boyaca apoyo Indagacion Preliminar No. 80152 2021 47027 inspeccion fisica de los elementos relacionados en la investigacion en Puerto Boyaca,APOYO,,2026-04-22 20:01:39
78,2202669,2022,71,1,35,1,20220219,20220221,2.5,1016288.0,"Realizar visita especial, decretada mediante auto No. 015 del 23 01 2022, revision ejecucion contrato de obra No. 20011010119 de 2015, cosntruccion de viviendas nuevas, dentro del PRF No. 2017 01743 2017 00196",VISITA,,2026-04-22 20:01:39
79,2203229,2022,8,1,40,1,20220219,20220220,1.5,1436603.0,"Visita técnica a obras del proyecto Caminos comunitarios de la paz total en las veredas Las Aguaditas y La Música en Sahagún- Córdoba, en el marco de la Auditoría de Cumplimiento al Invías. Traslados terrestres con Entidad por seguridad y acceso.",AUDITORIA,,2026-04-22 20:01:39
80,2203430,2022,72,1,41,1,20220219,20220221,2.5,990731.0,"Realizar reunion con los veedores para el conocimiento de los pormenores y dificultades, inspeccion fisica de obras en el contrato MALP 001 2020",OTROS,,2026-04-22 20:01:39
81,2203503,2022,73,1,42,1,20220219,20220220,1.5,691741.0,"Visita Técnica revisión contrato No. CMA-ADS-017-2020 - Interventoría de la segunda etapa del sistema de alcantarillado de corregimiento Santiago Apóstol-Municipio de San Benito Abad, dentro de la denuncia ciudadana No. 2021-316163-80704-D.",VISITA,,2026-04-22 20:01:39
82,2200300,2022,74,1,43,1,20220220,20220220,1.0,82108.0,"Realizar visita especial, decretada mediante auto No. 013 del 22 01 2022, revision ejecucion contrato de obra No. LP 002 2018, Villa olimpica del municipio, dentro de la IP No. 80503 2020 43700",VISITA,,2026-04-22 20:01:39
83,2200857,2022,75,1,43,1,20220220,20220220,1.0,87586.0,"Realizar visita especial, decretada mediante auto No. 013 del 22 01 2022, revision ejecucion contrato de obra No. LP 002 2018, Villa olimpica del municipio, dentro de la IP No. 80503 2020 43700",VISITA,,2026-04-22 20:01:39
84,2201074,2022,76,1,44,1,20220220,20220221,1.5,499395.0,"Realizar visita tecnica, decretada mediante auto No. 555 del 07 11 2021, revision ejecuion contrato de obra No. 175 de 2019, infraestructura educativa, dentro del PRF No. 80732 2020 44896",VISITA,,2026-04-22 20:01:39
85,2202381,2022,77,1,45,1,20220220,20220221,1.5,644283.0,"Realizar visita tecnica, decretada mediante auto No. 580 del 01 10 2021, revision ejecucion contrato de obra No. L AOS O11 10 19, optimizacion sistema de acueducto en zona rural del municipio, dentro de la IP No. 80703 2021 47048",VISITA,,2026-04-22 20:01:39
86,2202963,2022,78,1,46,1,20220220,20220221,1.5,607717.0,"Con el fin de verificar el estado actual y cantidades de obra ejecutadas se realiza registro fotografico y video, toma de medidas para cumplimiento con las condiciones pactadas y especificaciones técnicas.",OTROS,,2026-04-22 20:01:39
87,2203089,2022,79,1,47,1,20220220,20220221,1.5,633159.0,"Realizar visita tecnica de campo, decretada mediante auto No. 00208 del 06 02 2022, revision ejecucion contrato de oba No. 432 de 2022, mejoramiento de vias, dentro del PRF No. 801112 2019 35834",VISITA,,2026-04-22 20:01:39
88,2203177,2022,80,1,48,1,20220220,20220220,1.0,95716.0,"visita técnica, con el fin de revisar documentacion relacionada con los anticipos entregados a los contratistas, verificar sobre costos, visita a la obra para realizar revision de las instalaciones y los materiales de construccion.",VISITA,,2026-04-22 20:01:39
89,2203652,2022,81,1,49,1,20220220,20220221,1.5,478287.0,Visita apoyo tecnico Indagacion Preliminar Nro. IP-813112-2021-45771 ejecución del Contrato Interadministrativo CO2.PCCNTR-1482420 del Servicio Nacional de Aprendizaje SENA en Pasto,VISITA,,2026-04-22 20:01:39
90,2200482,2022,21,1,2,1,20220221,20220221,0.5,211583.0,"Acompañar mesa técnica interistutcional, de RESTITUCIÓN DE TIERRAS de la Ley de víctimas en el Marco del Convenio de la CGR con el PNUD, en la ciudad de Medellín.",OTROS,,2026-04-22 20:01:39
91,2201752,2022,23,1,2,1,20220221,20220221,0.5,208680.0,"Acompañar mesa técnica interistutcional, de RESTITUCIÓN DE TIERRAS de la Ley de víctimas en el Marco del Convenio de la CGR con el PNUD, en la ciudad de Medellín.",OTROS,,2026-04-22 20:01:39
92,2202097,2022,43,1,2,1,20220221,20220221,0.5,418365.0,"Acompañar mesa técnica interistutcional, de RESTITUCIÓN DE TIERRAS de la Ley de víctimas en el Marco del Convenio de la CGR con el PNUD,en la ciudad de Medellín",OTROS,,2026-04-22 20:01:39
93,2200313,2022,62,1,50,1,20220224,20220225,1.5,621676.0,"Realizar visita tecnica, decretada mediante auto No. 704 del 11 12 2021, revision ejecucion del convenio 1274 de 2017, construccion cancha sintetica de futbol, dentro de la IP No. 80412 2021 46813",VISITA,,2026-04-22 20:01:39
94,2200353,2022,82,1,51,1,20220224,20220226,5.0,1631443.0,Visita Zona Franca Cauca ene 19al21 y Parque Industrial Malambo PIMSA Atlántico ene 24al26 para reunión con actores involucrados de la ENEC,VISITA,,2026-04-22 20:01:39
95,2200525,2022,83,1,52,1,20220224,20220226,2.5,822441.0,"Realizar visita especial, decretada mediante auto No. 331 del 26 11 2021, evision ejecucion convenio de obra No. 256 del 28 08 2017, dentro de la IP No. 2021 46679",VISITA,,2026-04-22 20:01:39
96,2200617,2022,84,1,53,1,20220224,20220226,2.5,881008.0,"Llevar a acabo Mesa de Trabajo en el municipio de Sab Benito Abad - Sucre, con la ciudadania y todos los actores involucrados, con el objetivo de conformar Veeduría Ciudadana, para el Proyecto de la reubicación de 270 viviendas en el Municipio.",OTROS,,2026-04-22 20:01:39
97,2200751,2022,85,1,54,1,20220224,20220225,1.5,524534.0,"Realizar visita tecnica, decretada mediante auto No. 0125 del 05 02 2022, revision ejecucion contrato de obra No. 212 de 2018, construccion canchas de futbol, dentro de la IP No. 801112 2020 43464",VISITA,,2026-04-22 20:01:39
98,2200854,2022,65,1,44,1,20220224,20220225,1.5,534000.0,"Realizar visita tecnica, decretada mediante auto No. URF1 0035 del 12 02 2022, revision ejecucion contrato de obra No. 06 6 10112 15, adecuacion estacion de policía del municipio, dentro del PRF No. 80732 2019 34820",VISITA,,2026-04-22 20:01:39
99,2201254,2022,86,1,55,1,20220224,20220225,1.5,755836.0,"Visita especial instalaciones Alcaldía de Palmira Auto 0176 de 23-02-2022 PRF-80763-2020-44510,recaudo y verificación información pagos y registros contables",VISITA,,2026-04-22 20:01:39
100,2201276,2022,87,1,29,1,20220224,20220227,3.5,1402225.0,"Realizar visita de inspeccion tecnica, decretada mediante auto No. 047 del 07 10 2022, revision ejecucion contrato de obra No. 1380 1609 2019, mejoramiento sedes educativas en zona rural del municipio, dentro de la IP No. 80682 2021 46881",VISITA,,2026-04-22 20:01:39
101,2201438,2022,88,1,56,1,20220224,20220226,2.5,958335.0,Hacer presentación y soporte a los funcionarios de la Gerencia en el uso del Aplicativo Proceso Auditor APA conforme a la ejecución del PNVCF.,AUDITORIA,,2026-04-22 20:01:39
