viatico_id,commission_request_id,total_travel_allowance,purpose,full_date,commission_days,employee_position_norm,position_level,city_origin,city_destination_main,distance_km,destination_count,is_contractor,transport_mode,accommodation_type,prior_authorizations_required,destination_security_level,had_travel_incidents,dept_budget_execution_pct,functional_area,return_trip_included,advance_booking_days,requires_per_diem,daily_allowance_rate,allowance_per_km,travel_month,travel_quarter,travel_year,is_fiscal_year_end,is_weekend_departure,spending_tier,destination_region,position_seniority_index,purpose_expense_profile,is_multi_destination,multi_dest_cost_ratio,log_total_allowance
17,2200167,1499653,Visitas de Supervisión Contractual,2022-01-30,1.5,CONTRALOR,1.0,BOGOTA D.C.,IBAGUE,187.3688,1,0,Terrestre,Hotel 4-5 estrellas,2,Bajo riesgo,0,0.0738,Control Interno,1,4,1,999768.67,7961.26,1,1,2022,0,1,Medio-Alto,Andina,4.0,1107880.82,0,1499653.0,14.220745
18,2202167,1417664,Visitas de Supervisión Contractual,2022-01-30,1.5,ASESOR,3.0,BOGOTA D.C.,IBAGUE,187.3688,1,0,Terrestre,Hotel 3 estrellas,2,Bajo riesgo,0,0.0141,Jurídica,0,6,1,945109.33,7526.0,1,1,2022,0,1,Medio-Alto,Andina,2.0,1107880.82,0,1417664.0,14.164522
19,2202332,841634,Visitas de Supervisión Contractual,2022-01-30,1.5,OTRO,3.0,BOGOTA D.C.,IBAGUE,187.3688,1,0,Terrestre,Hospedaje económico,2,Bajo riesgo,0,0.0699,Control Interno,1,4,1,561089.33,4468.01,1,1,2022,0,1,Medio-Bajo,Andina,2.0,1107880.82,0,841634.0,13.643102
20,2203218,1489382,Visitas de Supervisión Contractual,2022-01-30,1.5,DIRECTOR,2.0,BOGOTA D.C.,IBAGUE,187.3688,1,0,Terrestre,Hotel 4-5 estrellas,2,Bajo riesgo,0,0.1084,Control Interno,0,3,1,992921.33,7906.73,1,1,2022,0,1,Medio-Alto,Andina,3.0,1107880.82,0,1489382.0,14.213872
21,2203413,62427,Visitas de Control Técnico,2022-01-30,1.0,PROFESIONAL,3.0,BOGOTA D.C.,BOJACA,38.135,1,0,Terrestre,Hotel 3 estrellas,1,Bajo riesgo,0,0.01,Organización Electoral,1,4,1,62427.0,1595.17,1,1,2022,0,1,Bajo,Andina,2.0,1183521.55,0,62427.0,11.041769
22,2201782,190310,Visitas de Supervisión Contractual,2022-01-31,0.5,PROFESIONAL,3.0,BOGOTA D.C.,ARMENIA,268.4648,1,0,Terrestre,Sin alojamiento,1,Bajo riesgo,0,0.01,Identificación,0,3,0,380620.0,706.25,1,1,2022,0,0,Bajo,Andina,2.0,1107880.82,0,190310.0,12.156415
23620,2411644,1998796,Visitas de Supervisión Contractual,2022-02-01,1.5,CONTRALOR,1.0,BOGOTA D.C.,SINCE,30.4626,1,0,Terrestre,Hotel 4-5 estrellas,2,Riesgo medio,0,0.0433,Identificación,0,6,1,1332530.67,63529.27,2,1,2022,0,0,Alto,Andina,4.0,1107881.0,0,1998796.0,14.508056
21309,2409333,251517,Visitas de Control Técnico,2022-02-02,0.5,PROFESIONAL,3.0,BOGOTA D.C.,ALVARADO,31.8472,1,0,Terrestre,Sin alojamiento,2,Bajo riesgo,0,0.0883,Infraestructura TI,0,3,0,503034.0,7657.18,2,1,2022,0,0,Bajo,Andina,2.0,1183522.0,0,251517.0,12.43527
25,2203307,208061,Visitas de Control Técnico,2022-02-03,0.5,PROFESIONAL,3.0,BOGOTA D.C.,CALI,460.7687,1,0,Aéreo,Sin alojamiento,2,Bajo riesgo,0,0.1686,Organización Electoral,0,4,0,416122.0,450.57,2,1,2022,0,0,Bajo,Pacífica,2.0,1183521.55,0,208061.0,12.245591
24,2201433,207371,Visitas de Control Técnico,2022-02-03,0.5,PROFESIONAL,3.0,BOGOTA D.C.,CALI,460.7687,1,0,Aéreo,Sin alojamiento,2,Bajo riesgo,0,0.1525,Organización Electoral,0,2,0,414742.0,449.08,2,1,2022,0,0,Bajo,Pacífica,2.0,1183521.55,0,207371.0,12.24227
26,2203548,215988,Visitas de Control Técnico,2022-02-03,0.5,PROFESIONAL,3.0,BOGOTA D.C.,CALI,460.7687,1,0,Terrestre,Sin alojamiento,1,Bajo riesgo,0,0.1323,Organización Electoral,0,4,0,431976.0,467.74,2,1,2022,0,0,Bajo,Pacífica,2.0,1183521.55,0,215988.0,12.282983
23,2200173,606819,Visitas de Supervisión Contractual,2022-02-03,1.5,PROFESIONAL,3.0,IBAGUE,ANZOATEGUI,79.8525,1,0,Terrestre,Hotel 3 estrellas,2,Bajo riesgo,0,0.1321,Control Interno,1,4,1,404546.0,7505.26,2,1,2022,0,0,Medio-Bajo,Andina,2.0,1107880.82,0,606819.0,13.315987
17522,2405546,1588704,Visitas de Supervisión Contractual,2022-02-04,2.5,PROFESIONAL,3.0,BOGOTA D.C.,CARTAGENA,958.2582,1,0,Aéreo,Hotel 3 estrellas,2,Bajo riesgo,0,0.0873,Infraestructura TI,1,4,1,635481.6,1656.18,2,1,2022,0,0,Alto,Caribe,2.0,1107881.0,0,1588704.0,14.27843
24176,2412200,1740196,Visitas de Control Técnico,2022-02-04,2.0,PROFESIONAL,3.0,BOGOTA D.C.,CHIMICHAGUA,180.1685,1,0,Aéreo,Hotel 3 estrellas,2,Riesgo medio,0,0.1152,Organización Electoral,1,3,1,870098.0,9605.4,2,1,2022,0,0,Alto,Andina,2.0,1183522.0,0,1740196.0,14.369509
17007,2405031,1566755,Ceremonias de Reconocimiento,2022-02-05,4.5,PROFESIONAL,3.0,BOGOTA D.C.,LOS SANTOS,163.1988,1,0,Terrestre,Hotel 3 estrellas,3,Riesgo medio,0,0.0342,Organización Electoral,0,9,1,348167.78,9541.82,2,1,2022,0,1,Alto,Andina,2.0,858116.9,0,1566755.0,14.264518
19823,2407847,764639,Comunicación y Transparencia Territorial,2022-02-05,3.5,CONTRATISTA,3.0,BOGOTA D.C.,NILO,103.9325,1,1,Terrestre,Hotel 3 estrellas,2,Bajo riesgo,0,0.1394,Registro Civil,0,3,1,218468.29,7286.96,2,1,2022,0,1,Medio-Bajo,Andina,1.0,441603.5,0,764639.0,13.54716
24288,2412312,0,Visitas de Supervisión Contractual,2022-02-05,1.5,PROFESIONAL,3.0,BOGOTA D.C.,PAZ - ARIPORO,213.4834,1,0,Terrestre,Hospedaje económico,1,Bajo riesgo,0,0.0868,Administrativa,0,3,1,0.0,0.0,2,1,2022,0,1,Bajo,Andina,2.0,1107881.0,0,0.0,0.0
27,2200222,570925,Visitas de Control Técnico,2022-02-05,1.5,PROFESIONAL,3.0,BOGOTA D.C.,MEDELLIN,416.6864,1,0,Aéreo,Hospedaje económico,3,Bajo riesgo,0,0.0946,Organización Electoral,1,2,1,380616.67,1366.87,2,1,2022,0,1,Medio-Bajo,Andina,2.0,1183521.55,0,570925.0,13.255015
29,2203027,1375115,Visitas de Control Técnico,2022-02-05,1.5,DIRECTOR,2.0,BOGOTA D.C.,MEDELLIN,416.6864,1,0,Aéreo,Hotel 3 estrellas,1,Bajo riesgo,0,0.1135,Administrativa,1,2,1,916743.33,3292.22,2,1,2022,0,1,Medio-Alto,Andina,3.0,1183521.55,0,1375115.0,14.134049
28,2201387,952315,Visitas de Supervisión Contractual,2022-02-05,2.5,PROFESIONAL,3.0,MOCOA,PUERTO CAICEDO,60.0343,1,0,Terrestre,Hotel 3 estrellas,2,Riesgo medio,0,0.1038,Control Interno,1,3,1,380926.0,15602.95,2,1,2022,0,1,Medio-Bajo,Andina,2.0,1107880.82,0,952315.0,13.766652
36,2203770,566608,Visitas de Control Técnico,2022-02-06,1.5,PROFESIONAL,3.0,BOGOTA D.C.,CALI,460.7687,1,0,Terrestre,Hotel 3 estrellas,2,Bajo riesgo,0,0.0877,Organización Electoral,0,4,1,377738.67,1227.04,2,1,2022,0,1,Medio-Bajo,Pacífica,2.0,1183521.55,0,566608.0,13.247425
33,2203164,563252,Visitas de Control Técnico,2022-02-06,1.5,PROFESIONAL,3.0,BOGOTA D.C.,SANTA MARTA,947.9119,1,0,Aéreo,Hotel 3 estrellas,2,Bajo riesgo,0,0.1089,Infraestructura TI,1,5,1,375501.33,593.58,2,1,2022,0,1,Medio-Bajo,Caribe,2.0,1183521.55,0,563252.0,13.241484
35,2203662,495602,Visitas de Control Técnico,2022-02-06,1.5,PROFESIONAL,3.0,BOGOTA D.C.,CALI,460.7687,1,0,Mixto,Hospedaje económico,1,Bajo riesgo,0,0.0778,Organización Electoral,1,5,1,330401.33,1073.27,2,1,2022,0,1,Bajo,Pacífica,2.0,1183521.55,0,495602.0,13.11353
34,2203537,987482,Visitas de Control Técnico,2022-02-06,1.5,CONTRATISTA,3.0,BOGOTA D.C.,CARTAGENA,984.7505,1,1,Terrestre,Hotel 3 estrellas,2,Bajo riesgo,0,0.0375,Organización Electoral,1,3,1,658321.33,1001.76,2,1,2022,0,1,Medio-Alto,Caribe,1.0,1183521.55,0,987482.0,13.802915
22382,2410406,0,Visitas de Supervisión Contractual,2022-02-06,4.5,PROFESIONAL,3.0,BOGOTA D.C.,IBAGUE,194.821,1,0,Terrestre,Hospedaje económico,2,Bajo riesgo,0,0.0616,Control Interno,1,4,1,0.0,0.0,2,1,2022,0,1,Bajo,Andina,2.0,1107881.0,0,0.0,0.0
32,2203130,571947,Visitas de Supervisión Contractual,2022-02-06,1.5,PROFESIONAL,3.0,BOGOTA D.C.,CARTAGENA,984.7505,1,0,Aéreo,Hospedaje económico,2,Bajo riesgo,0,0.0724,Control Interno,1,4,1,381298.0,580.21,2,1,2022,0,1,Medio-Bajo,Caribe,2.0,1107880.82,0,571947.0,13.256803
31,2202364,749840,Visitas de Control Técnico,2022-02-06,1.5,OTRO,3.0,BOGOTA D.C.,CALI,460.7687,1,0,Aéreo,Hotel 3 estrellas,2,Bajo riesgo,0,0.1117,Organización Electoral,1,2,1,499893.33,1623.84,2,1,2022,0,1,Medio-Bajo,Pacífica,2.0,1183521.55,0,749840.0,13.527616
30,2200651,543337,Visitas de Control Técnico,2022-02-06,1.5,PROFESIONAL,3.0,BOGOTA D.C.,SANTA MARTA,947.9119,1,0,Aéreo,Hotel 3 estrellas,1,Bajo riesgo,0,0.1673,Organización Electoral,1,3,1,362224.67,572.59,2,1,2022,0,1,Bajo,Caribe,2.0,1183521.55,0,543337.0,13.205487
37,2203825,1346497,Visitas de Supervisión Contractual,2022-02-06,1.5,DIRECTOR,2.0,BOGOTA D.C.,CARTAGENA,984.7505,1,0,Aéreo,Hotel 3 estrellas,1,Bajo riesgo,0,0.0844,Identificación,1,2,1,897664.67,1365.96,2,1,2022,0,1,Medio-Alto,Caribe,3.0,1107880.82,0,1346497.0,14.113018
38,2203873,738062,Visitas de Control Técnico,2022-02-06,1.5,OTRO,3.0,BOGOTA D.C.,SANTA MARTA,947.9119,1,0,Aéreo,Hotel 3 estrellas,2,Bajo riesgo,0,0.0365,Organización Electoral,1,3,1,492041.33,777.8,2,1,2022,0,1,Medio-Bajo,Caribe,2.0,1183521.55,0,738062.0,13.511784
23435,2411459,1394118,Visitas de Supervisión Contractual,2022-02-06,2.5,PROFESIONAL,3.0,VILLAVICENCIO,BRICENO,447.0437,1,0,Terrestre,Hotel 3 estrellas,3,Alto riesgo,0,0.1018,Control Interno,1,4,1,557647.2,3111.57,2,1,2022,0,1,Medio-Alto,Andina,2.0,1107881.0,0,1394118.0,14.147773
23802,2411826,546716,Visitas de Supervisión Contractual,2022-02-07,1.5,PROFESIONAL,3.0,TUNJA,CALI,376.7528,1,0,Mixto,Hotel 3 estrellas,1,Bajo riesgo,0,0.0707,Control Interno,0,4,1,364477.33,1447.29,2,1,2022,0,0,Bajo,Pacífica,2.0,1107881.0,0,546716.0,13.211687
22520,2410544,434722,Visitas de Control Técnico,2022-02-07,1.5,PROFESIONAL,3.0,BOGOTA D.C.,TIMBIO,13.9252,1,0,Terrestre,Hotel 3 estrellas,2,Riesgo medio,0,0.0405,Organización Electoral,0,6,1,289814.67,29126.71,2,1,2022,0,0,Bajo,Andina,2.0,1183522.0,0,434722.0,12.982464
16666,2404690,0,Visitas de Supervisión Contractual,2022-02-07,2.5,PROFESIONAL,3.0,BOGOTA D.C.,SANTA MARTA,927.4094,1,0,Terrestre,Hotel 3 estrellas,1,Bajo riesgo,0,0.0431,Jurídica,1,6,1,0.0,0.0,2,1,2022,0,0,Bajo,Caribe,2.0,1107881.0,0,0.0,0.0
18994,2407018,1541857,Visitas de Supervisión Contractual,2022-02-07,0.5,PROFESIONAL,3.0,CARTAGENA,MAPIRIPAN,338.9627,1,0,Terrestre,Sin alojamiento,2,Alto riesgo,0,0.0675,Control Interno,0,5,0,3083714.0,4535.37,2,1,2022,0,0,Alto,Andina,2.0,1107881.0,0,1541857.0,14.248499
19452,2407476,1774891,Visitas de Control Técnico,2022-02-08,3.5,PROFESIONAL,3.0,IBAGUE,LA PINTADA,374.5328,1,0,Aéreo,Hotel 3 estrellas,3,Riesgo medio,0,0.141,Organización Electoral,1,4,1,507111.71,4726.33,2,1,2022,0,0,Alto,Andina,2.0,1183522.0,0,1774891.0,14.38925
19208,2407232,1616860,Visitas de Supervisión Contractual,2022-02-08,1.0,PROFESIONAL,3.0,BOGOTA D.C.,LA UNION,658.5845,1,0,Aéreo,Hospedaje económico,3,Bajo riesgo,0,0.0804,Jurídica,1,6,1,1616860.0,2451.33,2,1,2022,0,0,Alto,Andina,2.0,1107881.0,0,1616860.0,14.295997
25287,2413311,0,Visitas de Supervisión Contractual,2022-02-08,2.5,PROFESIONAL,3.0,BOGOTA D.C.,VILLETA,97.9111,1,0,Terrestre,Hotel 3 estrellas,2,Bajo riesgo,0,0.1306,Control Interno,0,5,1,0.0,0.0,2,1,2022,0,0,Bajo,Andina,2.0,1107881.0,0,0.0,0.0
21752,2409776,0,Visitas de Supervisión Contractual,2022-02-09,1.5,PROFESIONAL,3.0,NEIVA,SABANALARGA,471.3529,1,0,Aéreo,Hospedaje económico,2,Bajo riesgo,0,0.0313,Control Interno,1,5,1,0.0,0.0,2,1,2022,0,0,Bajo,Caribe,2.0,1107881.0,0,0.0,0.0
18936,2406960,939913,Visitas de Supervisión Contractual,2022-02-09,1.5,PROFESIONAL,3.0,BOGOTA D.C.,BOGOTA D.C.,411.0763,1,0,Terrestre,Hotel 3 estrellas,2,Bajo riesgo,0,0.11,Control Interno,0,5,1,626608.67,2280.92,2,1,2022,0,0,Medio-Bajo,Andina,2.0,1107881.0,0,939913.0,13.753544
39,2202536,1378749,Visitas de Supervisión Contractual,2022-02-09,1.5,DIRECTOR,2.0,BOGOTA D.C.,MEDELLIN,416.6864,1,0,Aéreo,Hotel 3 estrellas,2,Bajo riesgo,0,0.0525,Identificación,0,2,1,919166.0,3300.92,2,1,2022,0,0,Medio-Alto,Andina,3.0,1107880.82,0,1378749.0,14.136688
41,2200972,504113,Visitas de Supervisión Contractual,2022-02-10,1.5,PROFESIONAL,3.0,RIOHACHA,DIBULLA GUAJIRA,107.8252,1,0,Terrestre,Hotel 3 estrellas,2,Riesgo medio,0,0.1335,Identificación,1,4,1,336075.33,4632.32,2,1,2022,0,0,Bajo,Andina,2.0,1107880.82,0,504113.0,13.130558
16780,2404804,1829400,Visitas de Supervisión Contractual,2022-02-10,1.0,PROFESIONAL,3.0,BOGOTA D.C.,SAN ANDRES,1215.4955,1,0,Aéreo,Hotel 3 estrellas,2,Bajo riesgo,0,0.1414,Control Interno,1,3,1,1829400.0,1503.83,2,1,2022,0,0,Alto,Insular,2.0,1107881.0,0,1829400.0,14.419499
20500,2408524,2108280,Visitas de Supervisión Contractual,2022-02-10,4.5,OTRO,3.0,BOGOTA D.C.,MONTELIBANO,283.8955,1,0,Aéreo,Hospedaje económico,2,Bajo riesgo,0,0.0777,Control Interno,1,2,1,468506.67,7400.19,2,1,2022,0,0,Alto,Andina,2.0,1107881.0,0,2108280.0,14.561383
40,2200259,1831598,Visitas de Supervisión Contractual,2022-02-10,4.5,PROFESIONAL,3.0,BOGOTA D.C.,FONSECA,967.3112,1,0,Aéreo,Hospedaje económico,3,Bajo riesgo,0,0.0992,Control Interno,1,4,1,407021.78,1891.54,2,1,2022,0,0,Alto,Andina,2.0,1107880.82,0,1831598.0,14.4207
18213,2406237,2675253,Visitas de Control Técnico,2022-02-10,4.5,PROFESIONAL,3.0,PASTO,BARRANQUILLA,977.5048,1,0,Aéreo,Hospedaje económico,3,Bajo riesgo,0,0.0524,Organización Electoral,1,3,1,594500.67,2734.02,2,1,2022,0,0,Alto,Caribe,2.0,1183522.0,0,2675253.0,14.799555
42,2203496,493101,Visitas de Supervisión Contractual,2022-02-10,1.5,PROFESIONAL,3.0,RIOHACHA,DIBULLA GUAJIRA,107.8252,1,0,Terrestre,Hospedaje económico,1,Bajo riesgo,0,0.0833,Control Interno,0,6,1,328734.0,4531.13,2,1,2022,0,0,Bajo,Andina,2.0,1107880.82,0,493101.0,13.108471
43,2203632,1703998,Visitas de Supervisión Contractual,2022-02-10,3.5,PROFESIONAL,3.0,BOGOTA D.C.,SUTAMARCHAN,189.9499,1,0,Terrestre,Hotel 3 estrellas,2,Riesgo medio,0,0.103,Control Interno,1,5,1,486856.57,8923.8,2,1,2022,0,0,Alto,Andina,2.0,1107880.82,0,1703998.0,14.348488
21727,2409751,1665076,Visitas de Control Técnico,2022-02-11,1.5,PROFESIONAL,3.0,BOGOTA D.C.,BUCARAMANGA,417.8379,1,0,Aéreo,Hospedaje económico,2,Bajo riesgo,0,0.0789,Organización Electoral,1,4,1,1110050.67,3975.47,2,1,2022,0,0,Alto,Andina,2.0,1183522.0,0,1665076.0,14.325382
44,2200028,728019,Visitas de Control Técnico,2022-02-11,1.5,OTRO,3.0,BOGOTA D.C.,YOPAL,375.3356,1,0,Mixto,Hotel 3 estrellas,1,Riesgo medio,0,0.1351,Organización Electoral,1,3,1,485346.0,1934.49,2,1,2022,0,0,Medio-Bajo,Orinoquía,2.0,1183521.55,0,728019.0,13.498084
23313,2411337,2251950,Visitas de Control Técnico,2022-02-11,2.0,PROFESIONAL,3.0,BOGOTA D.C.,SOACHA,14.7178,1,0,Terrestre,Hospedaje económico,2,Bajo riesgo,0,0.0754,Administrativa,1,4,1,1125975.0,143273.87,2,1,2022,0,0,Alto,Andina,2.0,1183522.0,0,2251950.0,14.627308
20727,2408751,0,Visitas de Supervisión Contractual,2022-02-11,4.5,PROFESIONAL,3.0,CALI,PUERTO SALGAR,183.6231,1,0,Terrestre,Hospedaje económico,1,Bajo riesgo,0,0.0753,Control Interno,0,5,1,0.0,0.0,2,1,2022,0,0,Bajo,Andina,2.0,1107881.0,0,0.0,0.0
20042,2408066,1472301,Visitas de Control Técnico,2022-02-11,1.5,GERENTE,2.0,CALI,ZIPAQUIRA,49.7519,1,0,Terrestre,Hotel 4-5 estrellas,2,Riesgo medio,0,0.1054,Jurídica,1,4,1,981534.0,29009.77,2,1,2022,0,0,Medio-Alto,Andina,3.0,1183522.0,0,1472301.0,14.202338
51,2203468,450845,Visitas de Control Técnico,2022-02-11,0.5,OTRO,3.0,BOGOTA D.C.,MEDELLIN,416.6864,1,0,Mixto,Sin alojamiento,1,Bajo riesgo,1,0.0552,Organización Electoral,0,3,0,901690.0,1079.39,2,1,2022,0,0,Bajo,Andina,2.0,1183521.55,0,450845.0,13.018881
45,2200953,550223,Visitas de Control Técnico,2022-02-11,1.5,PROFESIONAL,3.0,BOGOTA D.C.,YOPAL,375.3356,1,0,Terrestre,Hotel 3 estrellas,1,Riesgo medio,0,0.2068,Organización Electoral,1,3,1,366815.33,1462.05,2,1,2022,0,0,Bajo,Orinoquía,2.0,1183521.55,0,550223.0,13.218081
52,2203867,551855,Visitas de Control Técnico,2022-02-11,1.5,PROFESIONAL,3.0,BOGOTA D.C.,YOPAL,375.3356,1,0,Aéreo,Hotel 3 estrellas,1,Riesgo medio,0,0.0452,Organización Electoral,1,5,1,367903.33,1466.39,2,1,2022,0,0,Bajo,Orinoquía,2.0,1183521.55,0,551855.0,13.221042
46,2201220,927174,Visitas de Control Técnico,2022-02-11,3.5,OTRO,3.0,SANTA MARTA,BOGOTA D.C.,955.1234,1,0,Aéreo,Hotel 3 estrellas,2,Bajo riesgo,0,0.0874,Organización Electoral,1,4,1,264906.86,969.72,2,1,2022,0,0,Medio-Bajo,Andina,2.0,1183521.55,0,927174.0,13.739898
50,2203311,1439238,Visitas de Supervisión Contractual,2022-02-11,3.5,PROFESIONAL,3.0,PASTO,BARBACOAS,219.8853,1,0,Terrestre,Hotel 3 estrellas,2,Riesgo medio,0,0.0477,Control Interno,1,4,1,411210.86,6515.77,2,1,2022,0,0,Medio-Alto,Andina,2.0,1107880.82,0,1439238.0,14.179625
