Venta_ID,Fecha_ISO,Tienda_ID,SKU_ID,Moneda_Transaccion,Monto_Total_Local,Impuesto_Local,Tasa_Referencia_Dia,Monto_USD,Monto_Neto_USD,Metodo_Pago,Es_Online,Canal_Origen,Costo_Envio_USD,Flag_Fraude,Año,Mes,Trimestre,Nombre_Producto,Categoria,Costo_Base_USD,Nombre_Tienda,Pais
TXN-600015,2025-08-25 15:00:20.769409,STORE-001,SKU-00119,GBP,364.5,52.07,0.79,287.95500000000004,246.8197,Crypto,True,Store,17.08,False,2025,8,3,Gadget Pro X119,Gaming,329.57,GlobalTech UK - 1,UK
TXN-600016,2025-10-01 15:00:20.788041,STORE-020,SKU-00007,MXN,10708.46,1223.82,17.5,187398.05,165981.19999999998,Credit Card,False,Web,16.07,True,2025,10,4,Gadget Pro X7,Gaming,437.08,GlobalTech México - 20,México
TXN-600017,2025-11-27 15:00:20.807980,STORE-011,SKU-00092,USD,1230.82,61.54,1.0,1230.82,1169.28,Credit Card,True,Web,31.16,False,2025,11,4,Gadget Pro X92,Gaming,879.16,GlobalTech USA - 11,USA
TXN-600018,2025-06-14 15:00:20.828824,STORE-011,SKU-ERROR-9187,USD,140.0,7.0,1.0,140.0,133.0,Cash,False,Store,35.79,True,2025,6,2,,,,GlobalTech USA - 11,USA
TXN-600019,2025-05-06 15:00:20.849739,STORE-003,SKU-00095,JPY,5625027.8,763396.63,4100.0,23062613980.0,19932687797.0,Credit Card,False,Store,48.96,False,2025,5,2,Gadget Pro X95,Hogar,979.97,GlobalTech Colombia - 3,Colombia
TXN-600020,2025-09-08 15:00:20.868827,STORE-006,SKU-00135,GBP,856.57,122.37,0.79,676.6903000000001,580.018,Unknown,True,App,32.81,True,2025,9,3,Gadget Pro X135,Oficina,774.48,GlobalTech UK - 6,UK
TXN-600021,2026-01-23 15:00:20.890069,STORE-019,SKU-00117,USD,209.3,10.47,1.0,209.3,198.83,Cash,False,Web,49.18,False,2026,1,1,Gadget Pro X117,Hogar,149.5,GlobalTech USA - 19,USA
TXN-600022,2025-10-07 15:00:20.908807,STORE-014,SKU-00129,USD,165.3,8.26,1.0,165.3,157.04000000000002,Crypto,True,Store,29.1,False,2025,10,4,Gadget Pro X129,Hogar,118.07,GlobalTech USA - 14,USA
TXN-600023,2025-09-16 15:00:20.929320,STORE-005,SKU-00086,MXN,20637.58,2358.58,17.5,361157.65,319882.5,Cash,False,App,49.71,False,2025,9,3,Gadget Pro X86,Hogar,842.35,GlobalTech México - 5,México
TXN-600024,2025-05-20 15:00:20.948390,STORE-006,SKU-00122,GBP,378.05,54.01,0.79,298.65950000000004,255.99160000000003,Cash,False,Store,27.7,True,2025,5,2,Gadget Pro X122,Hogar,341.82,GlobalTech UK - 6,UK
TXN-600025,2025-06-23 15:00:20.969046,STORE-005,SKU-00004,MXN,26445.79,3022.38,17.5,462801.325,409909.675,Cash,True,App,24.15,False,2025,6,2,Gadget Pro X4,Oficina,1079.42,GlobalTech México - 5,México
TXN-600026,2025-08-09 15:00:20.983710,STORE-016,SKU-00085,JPY,4736188.8,642768.48,4100.0,19418374080.0,16783023312.0,Crypto,False,Web,18.49,False,2025,8,3,Gadget Pro X85,Hogar,825.12,GlobalTech Colombia - 16,Colombia
TXN-600027,2025-05-29 15:00:21.002599,STORE-012,SKU-00023,MXN,18474.47,2111.37,17.5,323303.22500000003,286354.25000000006,Cash,True,Social,11.53,False,2025,5,2,Gadget Pro X23,Gaming,754.06,GlobalTech México - 12,México
TXN-600028,2025-12-11 15:00:21.020920,STORE-004,SKU-00018,COP,5176217.2,702486.62,4100.0,21222490520.0,18342295378.0,Unknown,True,App,29.12,False,2025,12,4,Gadget Pro X18,Hogar,901.78,GlobalTech Colombia - 4,Colombia
TXN-600029,2025-04-22 15:00:21.040818,STORE-017,SKU-00097,USD,519.3,25.97,1.0,519.3,493.3299999999999,Crypto,False,Social,18.48,False,2025,4,2,Gadget Pro X97,Hogar,370.93,GlobalTech USA - 17,USA
TXN-600030,2025-05-26 15:00:21.056045,STORE-003,SKU-00123,COP,980564.2,133076.57,4100.0,4020313220.0,3474699282.9999995,Cash,True,Web,13.87,False,2025,5,2,Gadget Pro X123,Gaming,170.83,GlobalTech Colombia - 3,Colombia
TXN-600031,2025-03-16 15:00:21.075120,STORE-001,SKU-00024,GBP,1106.94,158.13,0.79,874.4826,749.5599000000001,Desconocido,True,Social,13.34,False,2025,3,1,Gadget Pro X24,Gaming,1000.85,GlobalTech UK - 1,UK
TXN-600032,2025-04-16 15:00:21.096237,STORE-001,SKU-00056,GBP,843.97,120.57,0.79,666.7363,571.4860000000001,Credit Card,True,Store,22.99,False,2025,4,2,Gadget Pro X56,Gaming,763.08,GlobalTech UK - 1,UK
TXN-600033,2025-05-22 15:00:21.116747,STORE-001,SKU-00083,GBP,562.15,80.31,0.79,444.0985,380.6536,Desconocido,False,App,26.05,False,2025,5,2,Gadget Pro X83,Gaming,508.27,GlobalTech UK - 1,UK
TXN-600034,2025-11-22 15:00:21.135989,STORE-004,SKU-00081,COP,2485592.2,337330.37,4100.0,10190928020.0,8807873503.0,Crypto,True,Web,29.64,False,2025,11,4,Gadget Pro X81,Electrónica,433.03,GlobalTech Colombia - 4,Colombia
TXN-600035,2025-12-04 15:00:21.154487,STORE-003,SKU-00010,COP,3915885.4,531441.59,4100.0,16055130140.0,13876219621.0,Desconocido,False,Store,46.0,False,2025,12,4,Gadget Pro X10,Electrónica,682.21,GlobalTech Colombia - 3,Colombia
TXN-600036,2025-12-10 15:00:21.173418,STORE-015,SKU-00033,EUR,118.61,17.79,0.92,109.1212,92.7544,Cash,True,Social,11.24,False,2025,12,4,Gadget Pro X33,Electrónica,92.09,GlobalTech España - 15,España
TXN-600037,2025-08-23 15:00:21.199973,STORE-001,SKU-ERROR-6791,GBP,110.6,15.8,0.79,87.374,74.892,Desconocido,False,App,44.62,False,2025,8,3,,,,GlobalTech UK - 1,UK
TXN-600038,2025-12-03 15:00:21.216938,STORE-011,SKU-00068,USD,1629.07,81.45,1.0,1629.07,1547.62,Desconocido,True,Store,32.65,False,2025,12,4,Gadget Pro X68,Oficina,1163.62,GlobalTech USA - 11,USA
TXN-600039,2025-08-18 15:00:21.238189,STORE-013,SKU-00023,EUR,1055.68,52.78,1.0,1055.68,1002.9000000000001,Desconocido,True,App,18.24,False,2025,8,3,Gadget Pro X23,Gaming,754.06,GlobalTech USA - 13,USA
TXN-600040,2025-08-01 15:00:21.260542,STORE-016,SKU-00073,COP,5892511.8,799698.03,4100.0,24159298380.0,20880536457.0,Desconocido,True,Store,34.6,False,2025,8,3,Gadget Pro X73,Oficina,1026.57,GlobalTech Colombia - 16,Colombia
TXN-600041,2025-10-18 15:00:21.278716,STORE-003,SKU-00111,COP,3703792.4,502657.54,4100.0,15185548840.0,13124652926.0,Credit Card,True,Store,35.54,True,2025,10,4,Gadget Pro X111,Gaming,645.26,GlobalTech Colombia - 3,Colombia
TXN-600042,2025-06-02 15:00:21.295715,STORE-011,SKU-00032,USD,126.07,6.3,1.0,126.07,119.77,Crypto,True,Web,31.13,False,2025,6,2,Gadget Pro X32,Gaming,90.05,GlobalTech USA - 11,USA
TXN-600043,2025-11-21 15:00:21.313191,STORE-007,SKU-00092,EUR,1132.36,169.85,0.92,1041.7712,885.5092,Credit Card,False,Store,33.42,False,2025,11,4,Gadget Pro X92,Gaming,879.16,GlobalTech España - 7,España
TXN-600044,2025-11-11 15:00:21.331124,STORE-006,SKU-00099,GBP,829.23,118.46,0.79,655.0917000000001,561.5083,Crypto,False,Web,29.74,False,2025,11,4,Gadget Pro X99,Electrónica,749.76,GlobalTech UK - 6,UK
TXN-600045,2025-04-17 15:00:21.345858,STORE-004,SKU-00100,COP,4392133.2,596075.22,4100.0,18007746120.0,15563837718.000002,Desconocido,True,Social,24.07,False,2025,4,2,Gadget Pro X100,Electrónica,765.18,GlobalTech Colombia - 4,Colombia
TXN-600046,2025-06-24 15:00:21.363107,STORE-005,SKU-00134,USD,4843.65,553.56,17.5,84763.875,75076.575,Credit Card,True,Social,6.92,False,2025,6,2,Gadget Pro X134,Electrónica,197.7,GlobalTech México - 5,México
TXN-600047,2026-02-04 15:00:21.385625,STORE-004,SKU-00098,COP,6036413.6,819227.56,4100.0,24749295760.0,21390462763.999996,Unknown,True,Store,36.24,False,2026,2,1,Gadget Pro X98,Hogar,1051.64,GlobalTech Colombia - 4,Colombia
TXN-600048,2025-08-30 15:00:21.403318,STORE-003,SKU-00096,COP,5794415.2,786384.92,4100.0,23757102320.0,20532924148.0,Credit Card,True,Store,22.4,True,2025,8,3,Gadget Pro X96,Electrónica,1009.48,GlobalTech Colombia - 3,Colombia
TXN-600049,2025-09-03 15:00:21.425904,STORE-002,SKU-00109,USD,1437.14,71.86,1.0,1437.14,1365.2800000000002,Crypto,False,Store,43.61,False,2025,9,3,Gadget Pro X109,Gaming,1026.53,GlobalTech USA - 2,USA
TXN-600050,2025-06-02 15:00:21.444919,STORE-008,SKU-00085,GBP,912.58,130.37,0.79,720.9382,617.9459,Cash,False,Store,40.39,False,2025,6,2,Gadget Pro X85,Hogar,825.12,GlobalTech UK - 8,UK
TXN-600051,2025-12-07 15:00:21.461135,STORE-020,SKU-00004,MXN,26445.79,3022.38,17.5,462801.325,409909.675,Cash,True,App,36.46,False,2025,12,4,Gadget Pro X4,Oficina,1079.42,GlobalTech México - 20,México
TXN-600052,2025-08-14 15:00:21.482331,STORE-001,SKU-00042,GBP,1115.71,159.39,0.79,881.4109000000001,755.4928000000001,Desconocido,False,Social,37.57,False,2025,8,3,Gadget Pro X42,Hogar,1008.78,GlobalTech UK - 1,UK
TXN-600053,2025-03-02 15:00:21.500036,STORE-003,SKU-00125,COP,3756830.0,509855.5,4100.0,15403003000.0,13312595450.0,Unknown,True,Store,44.15,False,2025,3,1,Gadget Pro X125,Gaming,654.5,GlobalTech Colombia - 3,Colombia
TXN-600054,2026-02-17 15:00:21.517712,STORE-009,SKU-00063,USD,754.26,37.71,1.0,754.26,716.55,Cash,True,Web,14.8,False,2026,2,1,Gadget Pro X63,Oficina,538.76,GlobalTech USA - 9,USA
TXN-600055,2025-09-06 15:00:21.535438,STORE-016,SKU-ERROR-9265,COP,574000.0,77900.0,4100.0,2353400000.0,2034010000.0,Credit Card,True,Web,12.98,False,2025,9,3,,,,GlobalTech Colombia - 16,Colombia
TXN-600056,2025-12-30 15:00:21.556112,STORE-014,SKU-00059,JPY,261.94,13.1,1.0,261.94,248.84,Unknown,False,Social,24.83,False,2025,12,4,Gadget Pro X59,Electrónica,187.1,GlobalTech USA - 14,USA
TXN-600057,2025-05-20 15:00:21.577544,STORE-013,SKU-00033,USD,128.93,6.45,1.0,128.93,122.48,Cash,False,Store,30.05,True,2025,5,2,Gadget Pro X33,Electrónica,92.09,GlobalTech USA - 13,USA
TXN-600058,2025-04-21 15:00:21.602266,STORE-011,SKU-00068,USD,1629.07,81.45,1.0,1629.07,1547.62,Desconocido,True,Web,13.65,True,2025,4,2,Gadget Pro X68,Oficina,1163.62,GlobalTech USA - 11,USA
TXN-600059,2025-12-31 15:00:21.620595,STORE-005,SKU-00001,MXN,25502.3,2914.55,17.5,446290.25,395285.625,Unknown,False,Web,43.98,False,2025,12,4,Gadget Pro X1,Oficina,1040.91,GlobalTech México - 5,México
TXN-600060,2025-10-27 15:00:21.636578,STORE-007,SKU-00131,EUR,817.4,122.61,0.92,752.008,639.2068,Cash,False,Social,46.28,True,2025,10,4,Gadget Pro X131,Electrónica,634.63,GlobalTech España - 7,España
TXN-600061,2025-08-15 15:00:21.654553,STORE-020,SKU-00009,MXN,19016.65,2173.33,17.5,332791.375,294758.1,Unknown,False,Social,26.83,False,2025,8,3,Gadget Pro X9,Oficina,776.19,GlobalTech México - 20,México
TXN-600062,2025-11-30 15:00:21.671586,STORE-017,SKU-00054,EUR,891.98,44.6,1.0,891.98,847.38,Desconocido,True,App,25.59,False,2025,11,4,Gadget Pro X54,Gaming,637.13,GlobalTech USA - 17,USA
TXN-600063,2026-02-01 15:00:21.686189,STORE-008,SKU-00104,GBP,1274.8,182.11,0.79,1007.092,863.2251000000001,Desconocido,False,Store,37.18,False,2026,2,1,Gadget Pro X104,Oficina,1152.62,GlobalTech UK - 8,UK
TXN-600064,2025-11-10 15:00:21.705228,STORE-012,SKU-00078,MXN,11379.02,1300.46,17.5,199132.85,176374.80000000002,Desconocido,False,Social,20.71,True,2025,11,4,Gadget Pro X78,Hogar,464.45,GlobalTech México - 12,México
TXN-600065,2025-10-04 15:00:21.723693,STORE-004,SKU-00081,COP,2485592.2,337330.37,4100.0,10190928020.0,8807873503.0,Desconocido,False,Social,25.78,False,2025,10,4,Gadget Pro X81,Electrónica,433.03,GlobalTech Colombia - 4,Colombia
TXN-600066,2025-08-11 15:00:21.740766,STORE-007,SKU-00007,EUR,562.96,84.44,0.92,517.9232000000001,440.23840000000007,Cash,False,Store,37.96,False,2025,8,3,Gadget Pro X7,Gaming,437.08,GlobalTech España - 7,España
TXN-600067,2025-11-08 15:00:21.760405,STORE-018,SKU-00063,GBP,595.87,85.12,0.79,470.7373,403.4925,Desconocido,True,App,16.5,False,2025,11,4,Gadget Pro X63,Oficina,538.76,GlobalTech UK - 18,UK
TXN-600068,2025-04-25 15:00:21.777820,STORE-003,SKU-00123,COP,980564.2,133076.57,4100.0,4020313220.0,3474699282.9999995,Cash,True,Store,39.23,False,2025,4,2,Gadget Pro X123,Gaming,170.83,GlobalTech Colombia - 3,Colombia
TXN-600069,2025-03-10 15:00:21.797643,STORE-020,SKU-00139,MXN,2367.68,270.59,17.5,41434.399999999994,36699.075,Desconocido,False,Store,15.35,False,2025,3,1,Gadget Pro X139,Oficina,96.64,GlobalTech México - 20,México
TXN-600070,2025-06-21 15:00:21.813778,STORE-011,SKU-00016,USD,1492.01,74.6,1.0,1492.01,1417.41,Desconocido,False,App,12.62,False,2025,6,2,Gadget Pro X16,Gaming,1065.72,GlobalTech USA - 11,USA
TXN-600071,2025-05-12 15:00:21.834008,STORE-015,SKU-ERROR-7705,EUR,128.8,19.32,0.92,118.49600000000001,100.72160000000002,Unknown,False,Web,26.65,False,2025,5,2,,,,GlobalTech España - 15,España
TXN-600072,2026-01-24 15:00:21.855862,STORE-018,SKU-00092,GBP,972.35,138.91,0.79,768.1565,658.4176000000001,Cash,False,Social,37.97,False,2026,1,1,Gadget Pro X92,Gaming,879.16,GlobalTech UK - 18,UK
TXN-600073,2025-11-08 15:00:21.873852,STORE-002,SKU-00074,USD,662.72,33.14,1.0,662.72,629.58,Cash,True,Store,34.79,True,2025,11,4,Gadget Pro X74,Oficina,473.37,GlobalTech USA - 2,USA
TXN-600074,2026-01-08 15:00:21.892245,STORE-009,SKU-00042,USD,1412.29,70.61,1.0,1412.29,1341.68,Cash,True,Web,19.27,False,2026,1,1,Gadget Pro X42,Hogar,1008.78,GlobalTech USA - 9,USA
TXN-600075,2025-07-31 15:00:21.914985,STORE-004,SKU-00057,COP,5651374.4,766972.24,4100.0,23170635040.0,20026048856.0,Unknown,False,Social,26.62,False,2025,7,3,Gadget Pro X57,Gaming,984.56,GlobalTech Colombia - 4,Colombia
TXN-600076,2025-06-27 15:00:21.937616,STORE-018,SKU-00103,GBP,410.81,58.69,0.79,324.5399,278.1748,Desconocido,False,Web,34.63,False,2025,6,2,Gadget Pro X103,Oficina,371.44,GlobalTech UK - 18,UK
TXN-600077,2025-12-11 15:00:21.968593,STORE-011,SKU-00051,USD,1323.64,66.18,1.0,1323.64,1257.46,Desconocido,False,Social,46.17,False,2025,12,4,Gadget Pro X51,Electrónica,945.46,GlobalTech USA - 11,USA
TXN-600078,2025-12-09 15:00:21.986783,STORE-008,SKU-00124,GBP,855.48,122.21,0.79,675.8292,579.2833,Credit Card,False,Store,34.78,False,2025,12,4,Gadget Pro X124,Gaming,773.49,GlobalTech UK - 8,UK
TXN-600079,2025-06-17 15:00:22.005484,STORE-002,SKU-00006,USD,645.86,32.29,1.0,645.86,613.57,Credit Card,True,Web,16.86,True,2025,6,2,Gadget Pro X6,Gaming,461.33,GlobalTech USA - 2,USA
TXN-600080,2026-01-31 15:00:22.024393,STORE-007,SKU-00011,EUR,68.11,10.22,0.92,62.6612,53.2588,Unknown,False,Store,42.17,True,2026,1,1,Gadget Pro X11,Gaming,52.88,GlobalTech España - 7,España
TXN-600081,2025-03-17 15:00:22.041434,STORE-011,SKU-00051,USD,1323.64,66.18,1.0,1323.64,1257.46,Credit Card,True,Store,9.04,False,2025,3,1,Gadget Pro X51,Electrónica,945.46,GlobalTech USA - 11,USA
TXN-600082,2025-06-09 15:00:22.058812,STORE-005,SKU-00140,MXN,21370.86,2442.38,17.5,373990.05,331248.39999999997,Desconocido,True,Web,14.29,False,2025,6,2,Gadget Pro X140,Gaming,872.28,GlobalTech México - 5,México
TXN-600083,2025-05-30 15:00:22.078608,STORE-004,SKU-00077,COP,5318397.0,721782.45,4100.0,21805427700.0,18846119655.0,Crypto,True,Web,29.92,False,2025,5,2,Gadget Pro X77,Oficina,926.55,GlobalTech Colombia - 4,Colombia
TXN-600084,2025-09-11 15:00:22.096519,STORE-019,SKU-00134,USD,276.78,13.84,1.0,276.78,262.94,Cash,False,App,41.18,False,2025,9,3,Gadget Pro X134,Electrónica,197.7,GlobalTech USA - 19,USA
TXN-600085,2026-01-01 15:00:22.118594,STORE-013,SKU-00051,USD,1323.64,66.18,1.0,1323.64,1257.46,Desconocido,True,Social,49.69,False,2026,1,1,Gadget Pro X51,Electrónica,945.46,GlobalTech USA - 13,USA
TXN-600086,2025-03-06 15:00:22.138132,STORE-015,SKU-00093,EUR,228.86,34.33,0.92,210.55120000000002,178.96760000000003,Crypto,False,Web,30.71,True,2025,3,1,Gadget Pro X93,Gaming,177.69,GlobalTech España - 15,España
TXN-600087,2025-12-26 15:00:22.158518,STORE-020,SKU-00045,MXN,9197.79,1051.18,17.5,160961.325,142565.67500000002,Unknown,True,App,26.7,False,2025,12,4,Gadget Pro X45,Electrónica,375.42,GlobalTech México - 20,México
TXN-600088,2025-03-28 15:00:22.177675,STORE-007,SKU-00016,EUR,1372.65,205.9,0.92,1262.8380000000002,1073.41,Cash,True,Web,14.26,False,2025,3,1,Gadget Pro X16,Gaming,1065.72,GlobalTech España - 7,España
TXN-600089,2026-01-21 15:00:22.199452,STORE-007,SKU-00102,EUR,887.08,133.06,0.92,816.1136,693.6984,Unknown,False,App,6.59,False,2026,1,1,Gadget Pro X102,Hogar,688.73,GlobalTech España - 7,España
TXN-600090,2026-01-18 15:00:22.215542,STORE-005,SKU-00093,MXN,4353.4,497.53,17.5,76184.5,67477.72499999999,Desconocido,True,Social,25.46,True,2026,1,1,Gadget Pro X93,Gaming,177.69,GlobalTech México - 5,México
TXN-600091,2025-09-13 15:00:22.232657,STORE-018,SKU-00119,GBP,364.5,52.07,0.79,287.95500000000004,246.8197,Crypto,False,Store,5.84,False,2025,9,3,Gadget Pro X119,Gaming,329.57,GlobalTech UK - 18,UK
TXN-600092,2025-05-10 15:00:22.250838,STORE-019,SKU-00080,USD,1483.75,74.19,1.0,1483.75,1409.56,Cash,True,App,45.28,True,2025,5,2,Gadget Pro X80,Oficina,1059.82,GlobalTech USA - 19,USA
TXN-600093,2025-05-22 15:00:22.267909,STORE-012,SKU-00136,MXN,25639.98,2930.28,17.5,448699.64999999997,397419.75,Cash,True,App,12.18,False,2025,5,2,Gadget Pro X136,Gaming,1046.53,GlobalTech México - 12,México
TXN-600094,2025-07-24 15:00:22.287421,STORE-014,SKU-00071,USD,356.27,17.81,1.0,356.27,338.46,Credit Card,False,App,17.95,False,2025,7,3,Gadget Pro X71,Hogar,254.48,GlobalTech USA - 14,USA
TXN-600095,2025-09-17 15:00:22.304843,STORE-007,SKU-00045,EUR,483.54,72.53,0.92,444.8568,378.1292,Unknown,False,App,7.61,False,2025,9,3,Gadget Pro X45,Electrónica,375.42,GlobalTech España - 7,España
TXN-600096,2025-12-31 15:00:22.322596,STORE-005,SKU-00135,MXN,18974.76,2168.54,17.5,332058.3,294108.85,Crypto,True,Web,12.61,True,2025,12,4,Gadget Pro X135,Oficina,774.48,GlobalTech México - 5,México
TXN-600097,2025-05-15 15:00:22.338705,STORE-011,SKU-00124,USD,1082.89,54.14,1.0,1082.89,1028.75,Crypto,True,Web,19.48,False,2025,5,2,Gadget Pro X124,Gaming,773.49,GlobalTech USA - 11,USA
TXN-600098,2025-10-19 15:00:22.361745,STORE-006,SKU-00004,GBP,1193.84,170.55,0.79,943.1336,808.3991,Credit Card,False,App,29.07,False,2025,10,4,Gadget Pro X4,Oficina,1079.42,GlobalTech UK - 6,UK
TXN-600099,2025-07-06 15:00:22.380980,STORE-001,SKU-00077,GBP,1024.76,146.39,0.79,809.5604000000001,693.9123000000001,Unknown,True,Store,9.98,False,2025,7,3,Gadget Pro X77,Oficina,926.55,GlobalTech UK - 1,UK
TXN-600100,2025-07-28 15:00:22.432562,STORE-019,SKU-00149,USD,589.3,29.47,1.0,589.3,559.8299999999999,Desconocido,False,App,26.55,False,2025,7,3,Gadget Pro X149,Oficina,420.93,GlobalTech USA - 19,USA
TXN-600101,2025-05-04 15:00:22.459833,STORE-011,SKU-00142,USD,448.92,22.45,1.0,448.92,426.47,Unknown,False,Web,37.66,True,2025,5,2,Gadget Pro X142,Hogar,320.66,GlobalTech USA - 11,USA
TXN-600102,2025-04-06 15:00:22.477685,STORE-014,SKU-00029,USD,578.89,28.94,1.0,578.89,549.9499999999999,Crypto,False,Social,12.64,False,2025,4,2,Gadget Pro X29,Hogar,413.49,GlobalTech USA - 14,USA
TXN-600103,2025-10-26 15:00:22.509952,STORE-001,SKU-ERROR-1933,GBP,110.6,15.8,0.79,87.374,74.892,Crypto,True,Store,41.46,False,2025,10,4,,,,GlobalTech UK - 1,UK
TXN-600104,2025-08-04 15:00:22.530401,STORE-004,SKU-00090,COP,649308.8,88120.48,4100.0,2662166080.0,2300872112.0000005,Unknown,False,App,38.39,False,2025,8,3,Gadget Pro X90,Electrónica,113.12,GlobalTech Colombia - 4,Colombia
TXN-600105,2025-07-01 15:00:22.550762,STORE-001,SKU-00037,JPY,62.67,8.95,0.79,49.5093,42.4388,Cash,True,Store,44.19,False,2025,7,3,Gadget Pro X37,Gaming,56.66,GlobalTech UK - 1,UK
TXN-600106,2025-04-27 15:00:22.569908,STORE-004,SKU-00092,COP,5046378.4,684865.64,4100.0,20690151440.0,17882202316.000004,Credit Card,False,Web,45.06,True,2025,4,2,Gadget Pro X92,Gaming,879.16,GlobalTech Colombia - 4,Colombia
TXN-600107,2025-11-08 15:00:22.589703,STORE-018,SKU-00019,GBP,1225.89,175.13,0.79,968.4531000000002,830.1004000000003,Desconocido,True,Web,15.03,True,2025,11,4,Gadget Pro X19,Gaming,1108.4,GlobalTech UK - 18,UK
TXN-600108,2026-01-29 15:00:22.609676,STORE-015,SKU-00087,EUR,1288.1,193.22,0.92,1185.052,1007.2896,Cash,False,App,45.26,False,2026,1,1,Gadget Pro X87,Electrónica,1000.08,GlobalTech España - 15,España
TXN-600109,2025-12-12 15:00:22.632003,STORE-020,SKU-00065,MXN,11498.83,1314.15,17.5,201229.525,178231.9,Crypto,False,Social,8.64,False,2025,12,4,Gadget Pro X65,Oficina,469.34,GlobalTech México - 20,México
TXN-600110,2025-12-13 15:00:22.662726,STORE-018,SKU-00063,GBP,595.87,85.12,0.79,470.7373,403.4925,Desconocido,False,Store,27.68,False,2025,12,4,Gadget Pro X63,Oficina,538.76,GlobalTech UK - 18,UK
TXN-600111,2025-05-01 15:00:22.681990,STORE-012,SKU-00124,MXN,18950.51,2165.77,17.5,331633.925,293732.94999999995,Crypto,True,Store,43.22,False,2025,5,2,Gadget Pro X124,Gaming,773.49,GlobalTech México - 12,México
